LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka
SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_Ca_Ti,SH20M1H_mean_age,Ln_Ca_Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
21896.5,3.647634284,21454.72,3.878720974,21896.5,-2.280923596,21454.72,-0.110241629,21896.5,0.552289748,21454.72,-0.00687545,21896.5,1.103115956,21454.72,1.293333838,21896.5,-0.282020917,21454.72,-0.109734497
21930.2,3.681524889,21459.07,4.015056287,21930.2,-2.869691553,21459.07,-0.380698436,21930.2,0.731219129,21459.07,0.012954526,21930.2,1.135584053,21459.07,1.2588645,21930.2,-0.154648316,21459.07,-0.046612305
21963.9,3.632937754,21463.42,3.909790843,21963.9,-0.764182954,21463.42,NaN,21963.9,0.737847359,21463.42,0.018613088,21963.9,1.117505238,21463.42,1.284240595,21963.9,-0.30885707,21463.42,-0.174065576
21997.5,3.679251758,21467.77,3.898776957,21997.5,-2.663481882,21467.77,-0.182831195,21997.5,0.601983887,21467.77,0.233461962,21997.5,1.118261478,21467.77,1.27063832,21997.5,-0.509932368,21467.77,0.023737378
22031.2,3.667475979,21472.11,3.815907937,22031.2,-1.528610583,21472.11,-0.137360756,22031.2,0.569768159,21472.11,0.46066558,22031.2,1.123390349,21472.11,1.247659761,22031.2,-0.372839881,21472.11,-0.050510975
22064.8,3.70342571,21476.46,3.899423762,22064.8,-2.108429079,21476.46,-0.176820595,22064.8,0.455010845,21476.46,0.09281668,22064.8,1.165763672,21476.46,1.283394736,22064.8,-0.530866375,21476.46,-0.117684615
22098.5,3.678033679,21480.81,3.809427956,22098.5,-1.170071253,21480.81,-0.236982642,22098.5,0.765686525,21480.81,0.167651687,22098.5,1.166142824,21480.81,1.282737272,22098.5,-0.177942444,21480.81,-0.150411087
22132.2,3.648469161,21485.16,3.873688401,22132.2,-1.566556185,21485.16,-0.217107258,22132.2,0.56548952,21485.16,-0.1914776,22132.2,1.127491301,21485.16,1.267301002,22132.2,-0.344234242,21485.16,-0.162955833
22165.8,3.644424206,21489.51,3.963265885,22165.8,-1.531801945,21489.51,-0.492336156,22165.8,0.529402009,21489.51,-0.153542774,22165.8,1.115039013,21489.51,1.239985359,22165.8,-0.355931173,21489.51,-0.156095071
22199.5,3.676613172,21493.86,3.976735265,22199.5,-2.312535424,21493.86,-1.343910536,22199.5,0.472475818,21493.86,-0.087540791,22199.5,1.147496659,21493.86,1.243097128,22199.5,-0.338454398,21493.86,-0.060724149
