Age_SH20	Ln(Fe/Mn)
cal a BP	NA
3208.51	3.097926688
3213.27	3.110055098
3218.02	3.080461574
3222.86	3.076109373
3227.7	2.908084966
3230.12	3.04511899
3234.96	3.104420579
3239.8	3.183468029
3244.63	3.208590554
3249.47	3.284663565
3254.31	3.177569217
3256.73	3.143805852
3261.57	3.367692105
3266.41	3.253249
3271.24	3.301956265
3276.08	3.286109574
3278.5	3.170004645
3283.34	3.176186416
3288.18	3.20843314
3293.02	3.407055893
3297.85	3.155748073
3302.69	3.304711726
3305.11	3.246055946
3309.95	3.092228552
3314.79	3.208521399
3319.63	3.042235071
3324.46	2.999092008
3326.88	3.025669267
3331.72	3.037152728
3336.56	3.081485763
3341.4	3.114069172
3346.24	3.037013016
3351.07	2.958638149
3353.49	2.962837011
3358.33	3.030967261
3363.17	3.005163964
3368.01	3.105963719
3372.85	3.040955782
3375.26	3.018546951
3380.1	2.919638781
3384.94	2.941301229
3389.78	2.842756896
3394.62	2.970217207
3399.45	2.621564172
3401.87	2.909288917
3406.71	2.95078996
3411.55	2.890371758
3416.39	2.896594553
3421.23	2.884608053
3423.65	3.00884043
3428.48	3.099805489
3433.32	3.057224407
3438.16	3.044362629
3443	2.922763254
3447.84	2.962218094
3450.26	2.991878704
3455.09	3.066489756
3459.93	2.966027119
3464.51	3.013323549
3469.09	2.871014036
3471.38	3.061067671
3475.95	3.01489531
3480.53	2.736786596
3485.11	2.988010227
3489.69	3.115191053
3494.26	2.882187349
3496.55	2.959317746
3501.13	3.386050566
3505.71	2.763220379
3510.28	2.822713109
3514.86	2.783967401
3517.15	2.804968098
3521.73	2.799632014
3526.31	2.764906226
3530.88	2.811461916
3535.46	2.994908889
3540.04	2.85382796
3542.33	2.820956143
3546.9	2.804050591
3551.48	2.834620364
3556.06	2.964617348
3560.64	2.950465307
3562.93	2.910129348
3567.5	2.821793207
3572.08	2.816092831
3576.66	2.928653944
3581.24	3.003131884
3585.81	2.937777162
3588.1	2.858110896
3592.68	2.920769235
3597.26	2.965837799
3601.83	3.241244461
3606.41	3.216953979
3608.7	3.035038327
3613.28	2.992633013
3617.86	2.843529482
3622.43	2.837367599
3627.01	3.15124848
3631.59	2.960922869
3633.88	2.95546568
3638.45	3.055572274
3643.03	2.998222246
3647.61	2.946461225
3652.19	3.028853744
3654.48	3.103678729
3659.05	2.988728106
3663.63	3.072548628
3668.21	3.143698455
3672.79	3.085671949
3677.36	3.115981402
3679.65	2.91632068
3684.23	3.135379793
3688.81	3.061465661
3693.6	3.047716544
3698.39	3.336122862
3700.78	3.135960362
3705.57	3.098041492
3710.36	3.08524299
3715.15	3.286029168
3719.94	2.996972199
3724.73	3.032442675
3727.13	3.165291579
3731.92	3.065465612
3736.71	3.103362938
3741.5	3.115677472
3746.29	2.86352728
3748.68	3.206693072
3753.47	3.223599852
3758.27	3.321248832
3763.06	3.25543612
3767.85	3.189331224
3772.64	3.1091444
3775.03	3.381018377
3779.82	3.206698232
3784.61	3.186683985
3789.4	3.297801503
3794.19	3.214351499
3796.59	3.211501764
3801.38	3.291231457
3806.17	3.275268677
3810.96	3.390188096
3815.75	3.33654554
3820.54	3.312353064
3822.93	3.392410778
3827.72	3.397893318
3832.51	3.169522395
3837.3	3.179051337
3842.09	3.195387844
3844.49	3.072748428
3849.28	3.037027529
3854.07	3.013821638
3858.86	3.065699847
3863.65	2.840155138
3868.44	2.887015161
3870.83	2.957919374
3875.63	2.813042228
3880.42	2.897859991
3885.21	2.987829408
3890	3.064425215
3892.39	2.947606272
3897.18	2.829437586
3901.97	2.980618636
3904.37	3.005716281
3909.16	2.930078303
3913.95	2.919441111
3918.74	2.859094019
3923.53	2.846280681
3928.32	2.762680169
3933.28	2.741661548
3938.25	2.67514285
3943.21	2.634336628
3948.18	2.628965501
3953.14	2.719172331
3958.11	2.786837582
