ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Wet density,Dry mass,Dry density,WMAR,DMAR,Aulacoseira ambigua,Aulacoseira granulata s.l.,Discostella stelligera s.l.,Cyclotella cf. meneghiniana,Cyclostephanos cf. patagonicus,Fragilaria restgroep,Staurosirella aff. pinnata,Staurosirella aff. lapponica,Staurosira aff. venter,Pseudostaurosira spp.,Fragilariod girdle view,Cymbella spp.,Pinnunavis spp.,Diploneis spp.,Pinnularia borealis,Mastogloia spp.,Unidentifiable,Sum planktonics,Sum benthics,Sum planktonics,SUM max>10%,Total diatom concentration,Ratio Chrysophyte cysts / Diatom frustules,Total Chrysophyte cysts concentration,Total dry diatom flux,Total dry Chrysophyte cyst flux,Total dry planktonic flux,Total dry benthic flux,PC1(25.66%),PC2(16.81%),PC3(12.57%),PC4(8.12%),PC5(7.42%)
Unit,,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,g cm-3,%,g cm-3,g cm-3,g cm-2 yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,valves/g,NA,valves/g,valves/(cm-2.yr),valves/(cm-2.yr),valves/(cm-2.yr),valves/(cm-2.yr),NA,NA,NA,NA,NA
LP08_D31,LP08-1C,24.5,,196.5,3423.6,4243.47,3864.1,3856.69,0.0464,1.073532432,18.0439448,0.193707599,0.049787011,0.008983541,0,6.82,85.14,0,4.92,0,0.67,0,0,0,0,0,0,0,0,0.22,0.22,96.87,1.12,90.06,97.99,145602822,0.25,18546058,1308029,166609,1267107,14615,-0.35,0.2,0.03,-0.2,0.02
LP08_D32,LP08-1B,88,89,198.9,3449.62,4303.12,3921.74,3908.44,0.0453,1.101618919,15.35085307,0.169107902,0.049903462,0.007660607,0,8.58,81.12,0,0,0,0.64,0,0.21,0,0,1.29,0,0,0,0,0.64,89.7,2.79,81.12,92.49,179884883,0.24,22003087,1378027,168557,1236085,38443,-0.3,0.13,0.06,-0.23,0.11
LP08_D33,LP08-1C,32.5,,204.5,3612.08,4372.68,4048.89,4032.06,0.0426,1.09951875,15.32231716,0.16847175,0.046872802,0.007181999,0,13.07,77.98,0,2.52,0.46,0.69,0,0.23,0,0.46,0.46,0,0,0,0.23,0,93.58,2.52,80.96,96.1,141572619,0.16,11040067,1016774,79290,951477,25653,-0.33,0.18,0.02,-0.11,0.03
LP08_D34,LP08-1C,40,41,212.5,3864.27,4486.41,4246.04,4219.72,0.0393,1.08085,15.24127522,0.164735323,0.042490418,0.006476082,0,10.37,84.56,0,2.53,0,0.23,0,0,0,0,0.23,0,0,0,0,0,97.47,0.46,87.1,97.93,174704908,0.1,8453463,1131403,54745,1102727,5214,-0.36,0.19,0.02,-0.17,0.05
LP08_D35,LP08-1C,48,49,220.5,4196.94,4586.23,4430.53,4423.22,0.073,1.10580625,17.46054716,0.193079822,0.080671621,0.014085706,0,7.82,89.43,0,1.15,0,0.46,0,0,0.23,0,0,0,0,0,0,0,98.39,0.69,90.57,99.08,65109031,0.18,5837361,917107,82223,902349,6325,-0.34,0.19,0.02,-0.23,0.07
LP08_D36,LP08-1C,56,57,228.5,4354.48,4664.3,4538.57,4532.88,0.1061,1.0723625,16.51972841,0.177151373,0.113823803,0.018803383,0,13.11,72.77,0,11.3,0.11,0,0,0,0,0,0.23,0,0,0,0,0,97.18,0.34,84.18,97.51,107674100,0.19,9976583,2024637,187594,1967444,6863,-0.41,0.24,0.04,0.01,-0.08
LP08_D37,LP08-1C,64,65,236.5,4460.64,4747.3,4612.89,4608.25,0.1172,1.10895,17.45166539,0.193530243,0.129984092,0.022684389,0,15.44,74.31,0,6.39,0,0.33,0,0,0,0,0.66,0,0,0,0,0,96.14,0.99,80.71,97.13,199160388,0.17,16688191,4517832,378561,4343494,44830,-0.39,0.2,0.04,-0.02,-0.01
LP08_D38,LP08-1C,71,72,243.5,4529.86,4799.8,4669.78,4667.97,0.1128,1.11679375,16.87921408,0.188506008,0.126004045,0.021268493,0,19.94,70.76,0,4.5,0,0.72,0,0.41,0,0,0.41,0,0,0,0,0,95.19,1.53,75.26,96.73,177401313,0.11,10157948,3773059,216044,3591736,57869,-0.4,0.2,0.01,0.05,-0.01
LP08_D39,LP08-1D,0,1,251.1,4591.24,4852.66,4737.37,4735.33,0.0979,1.1582325,25.68780631,0.297524521,0.113393392,0.029128275,0,21.32,62.94,0,8.44,0,1.82,0.23,0.46,0.46,0.23,0.46,0.23,0,0,0,0,92.7,3.88,71.38,96.58,138180722,0.19,12919976,4024966,376337,3731240,156042,-0.39,0.23,0.01,0.15,-0.07
LP08_D40,LP08-1C,80,81,252.5,4602.08,4870.99,4752.96,4749.63,0.0978,1.1551875,23.78695272,0.274783904,0.113018641,0.026883691,0,8.16,70.08,0,18.28,0,0.65,0,0,0,0.22,0.65,0,0,0,0.22,0.22,96.52,1.96,88.36,98.48,60254059,0.2,6031962,1619851,162161,1563448,31727,-0.41,0.24,0.08,0,-0.15
