ID,LabID,LongID,Type,TAS_Class,Group,Eruption_ID,Magma,Volcano,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Total,SiO2_n,TiO2_n,Al2O3_n,FeO_n,MnO_n,MgO_n,CaO_n,Na2O_n,K2O_n,P2O5_n,SO2_n,Cl_n,Total_n,SiO2_n_Z_score,TiO2_n_Z_score,Al2O3_n_Z_score,FeO_n_Z_score,Mn_Z_scoreO_n_Z_score,MgO_n_Z_score,CaO_n_Z_score,Na2O_n_Z_score,K2O_n_Z_score,SiO2_n_sqrt_transformed_Z_scores,TiO2_n_sqrt_transformed_Z_scores,Al2O3_n_sqrt_transformed_Z_scores,FeO_n_sqrt_transformed_Z_scores,Mn_sqrt_transformed_Z_scoresO_n_sqrt_transformed_Z_scores,MgO_n_sqrt_transformed_Z_scores,CaO_n_sqrt_transformed_Z_scores,Na2O_n_sqrt_transformed_Z_scores,K2O_n_sqrt_transformed_Z_scores,PC1_Z_scores_sqrt_transformed,PC2_Z_scores_sqrt_transformed,PC3_Z_scores_sqrt_transformed,PC4_Z_scores_sqrt_transformed,PC_n_sqrt_transformed_Z_scores,Variance_explained_percent,Minimum,25%_Quartile,Median,Mean,75%_Quartile,Maximum
SAM-387,COFR3_35-40-8,SAM-387_COFR3_35-40-8_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,69.08,0.72,15.07,1.66,0.11,0.64,2.85,5.34,3.42,0,0,0,98.9014,69.84,0.73,15.24,1.68,0.11,0.65,2.88,5.4,3.46,0,0,0,100,-0.480670182,0.426387676,0.672537813,-0.438985346,0.3460588,0.088547184,0.946587329,0.691717463,0.777672033,-0.461008845,0.61956068,0.691454022,-0.336594101,0.556861806,0.318614453,0.995685303,0.707622771,0.807065359,1.413364084,0.361888882,-0.572847765,0.585997769,,,,,,,,
SAM-389,CB260-1,SAM-389_CB260-1_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,76.36,0.15,12.43,1.02,0.03,0.15,1.03,3.41,4.08,0.02,0,0,98.6791,77.38,0.16,12.59,1.03,0.03,0.16,1.04,3.46,4.14,0.02,0,0,100,0.847458904,-0.824079818,-0.948901304,-0.849499622,-0.762400298,-0.820577537,-1.109327828,-1.339053581,1.553328047,0.845776191,-0.85401631,-0.95172585,-0.90892006,-0.689076458,-0.900037021,-1.219462679,-1.364601428,1.464291033,-2.610493228,1.687645015,0.21226364,0.360680077,,,,,,,,
SAM-390,CB260-2,SAM-390_CB260-2_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,76.47,0.16,12.27,1,0.03,0.17,1.05,3.5,4.16,0.03,0,0,98.8266,77.38,0.16,12.42,1.01,0.03,0.17,1.07,3.54,4.21,0.03,0,0,100,0.84738135,-0.823268719,-1.056727458,-0.865036894,-0.756459189,-0.798532867,-1.078815881,-1.255234744,1.640994358,0.845701788,-0.852506587,-1.066877521,-0.933705438,-0.678991114,-0.855944093,-1.175959401,-1.268938666,1.535071852,-2.591650222,1.72355028,0.20706723,0.28431832,,,,,,,,
SAM-391,CB260-3,SAM-391_CB260-3_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,78.3,0.14,12.42,0.97,0.03,0.15,0.99,3.34,4.34,0.02,0,0,100.7072,77.75,0.14,12.33,0.97,0.03,0.15,0.99,3.32,4.31,0.02,0,0,100,0.912549221,-0.86288734,-1.110057421,-0.890094177,-0.792377909,-0.82654733,-1.170160467,-1.485972997,1.756471918,0.908146776,-0.928476869,-1.124132704,-0.974318805,-0.741308908,-0.912266173,-1.307934751,-1.534998506,1.627333509,-2.840851494,1.864012004,0.313277029,0.379138978,,,,,,,,
SAM-392,CB260-4,SAM-392_CB260-4_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,75.63,0.13,11.71,0.95,0.02,0.16,0.92,3.31,3.8,0.02,0,0,96.652,78.25,0.14,12.11,0.99,0.02,0.16,0.95,3.43,3.94,0.02,0,0,100,1.001432075,-0.870458843,-1.242017597,-0.878075485,-0.891242576,-0.807713357,-1.208388967,-1.373523078,1.324181944,0.993076966,-0.943552177,-1.26668171,-0.954737598,-0.933470429,-0.874109226,-1.364787048,-1.404263304,1.276127231,-2.965620494,1.539348678,0.276244475,0.09301624,,,,,,,,
SAM-393,CB260-5,SAM-393_CB260-5_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,75.84,0.13,11.61,0.82,0.02,0.15,0.97,3.4,4.11,0.01,0,0,97.0577,78.14,0.13,11.96,0.85,0.02,0.15,1,3.51,4.23,0.01,0,0,100,0.980883042,-0.87930403,-1.334642896,-0.966815533,-0.856612962,-0.827691,-1.149008241,-1.289894267,1.665338233,0.97346614,-0.96141115,-1.367498991,-1.104096642,-0.86208578,-0.914623744,-1.276901291,-1.308362819,1.55461259,-2.973938586,1.741350777,0.205790859,0.147493058,,,,,,,,
SAM-394,CB260-6,SAM-394_CB260-6_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,75.74,0.15,12.3,0.99,0.02,0.15,1.06,3.29,4.12,0.02,0,0,97.8453,77.41,0.15,12.57,1.01,0.02,0.16,1.09,3.36,4.21,0.02,0,0,100,0.852464348,-0.836726861,-0.960163338,-0.861013804,-0.803816773,-0.819629311,-1.057021381,-1.443959503,1.635183261,0.850577764,-0.877793334,-0.963715157,-0.92725917,-0.761874206,-0.898106306,-1.145224936,-1.485908554,1.530400026,-2.664087026,1.719649566,0.212796326,0.463017357,,,,,,,,
SAM-395,CB260-7,SAM-395_CB260-7_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,76.79,0.15,12.03,1,0.02,0.17,1.1,3.41,4.11,0.01,0,0,98.8003,77.73,0.15,12.17,1.02,0.02,0.18,1.11,3.45,4.16,0.01,0,0,100,0.908695559,-0.839238482,-1.204561827,-0.859132015,-0.8353072,-0.783030622,-1.028360347,-1.34834887,1.577903452,0.904458266,-0.882569524,-1.226092286,-0.924250846,-0.820520353,-0.82587159,-1.105223947,-1.37527823,1.484198499,-2.723882343,1.640912291,0.259647736,0.258489482,,,,,,,,
SAM-396,CB260-8,SAM-396_CB260-8_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,76.88,0.14,11.95,0.93,0.02,0.12,0.94,3.44,4.17,0.02,0,0,98.6228,77.95,0.14,12.12,0.95,0.02,0.12,0.96,3.49,4.23,0.02,0,0,100,0.948054654,-0.864219474,-1.236628995,-0.903342751,-0.839987716,-0.883320692,-1.201977396,-1.306910356,1.66177741,0.94210621,-0.931115409,-1.260835976,-0.996126404,-0.829512597,-1.035759169,-1.355181478,-1.327786384,1.551757396,-2.938984161,1.788601331,0.190215175,0.174539006,,,,,,,,
SAM-397,CB260-9,SAM-397_CB260-9_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,76.69,0.13,11.92,0.92,0.01,0.14,0.94,3.55,3.99,0.02,0,0,98.3043,78.02,0.13,12.12,0.94,0.01,0.14,0.96,3.61,4.06,0.02,0,0,100,0.959451116,-0.884915154,-1.236936168,-0.910973192,-0.97176336,-0.846182657,-1.198738209,-1.181294939,1.468112077,0.952997135,-0.972884057,-1.261169149,-1.008795215,-1.124611624,-0.953432502,-1.350339595,-1.185447435,1.394858454,-2.987211341,1.611933877,-0.016044583,-0.007228689,,,,,,,,
SAM-398,CB260-10,SAM-398_CB260-10_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,75.75,0.14,11.89,0.96,0.02,0.14,0.94,3.36,4.09,0.02,0,0,97.2906,77.85,0.14,12.22,0.99,0.02,0.14,0.96,3.45,4.2,0.02,0,0,100,0.931146631,-0.851165971,-1.174322257,-0.878207191,-0.870376664,-0.848926362,-1.195256572,-1.349338403,1.626866313,0.925939887,-0.905506943,-1.193397193,-0.954951157,-0.889850755,-0.959306148,-1.345143443,-1.376415643,1.523708725,-2.88766763,1.76528036,0.187600341,0.188513278,,,,,,,,
SAM-399,CB260-11,SAM-399_CB260-11_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,76.95,0.14,12.28,1,0.02,0.14,1,3.47,4.25,0.02,0,0,99.2723,77.52,0.14,12.37,1.01,0.02,0.14,1.01,3.49,4.28,0.02,0,0,100,0.871829613,-0.857646827,-1.08553031,-0.865991797,-0.850810522,-0.850029551,-1.14218234,-1.302346414,1.719176191,0.869145991,-0.918153122,-1.097775282,-0.935238462,-0.850601882,-0.961676588,-1.266949163,-1.322572284,1.597654776,-2.771636222,1.80594349,0.116135309,0.262559172,,,,,,,,
SAM-400,CB260-12,SAM-400_CB260-12_Ax_Aguilera,Acid,Rhyolite,SAM,Ax,0,Aguilera,76.08,0.15,12.43,1.03,0.02,0.15,0.85,3.54,4.06,0.02,0,0,98.3366,77.37,0.15,12.64,1.04,0.02,0.15,0.86,3.6,4.13,0.02,0,0,100,0.845133691,-0.83615574,-0.917839098,-0.842098478,-0.800176131,-0.826109612,-1.307458116,-1.189544374,1.547927896,0.843545384,-0.876709824,-0.918703072,-0.897216737,-0.755288643,-0.911365125,-1.517064719,-1.1947217,1.459909695,-2.67030623,1.786074135,0.10972564,0.121554592,,,,,,,,
SAM-401,CB1011-1,SAM-401_CB1011-1_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,76.19,0.08,12.15,0.99,0.04,0.17,1.24,3.79,3.01,0.03,0,0,97.6877,77.99,0.08,12.44,1.02,0.04,0.17,1.27,3.88,3.08,0.03,0,0,100,0.955742299,-0.989732993,-1.040256688,-0.857952874,-0.613522452,-0.796052738,-0.852683318,-0.900430335,0.341247374,0.949453333,-1.21341494,-1.049235112,-0.922368041,-0.457521287,-0.851083137,-0.869509518,-0.875531493,0.408712705,-2.534420496,0.539465229,0.22682319,0.134255474,,,,,,,,
SAM-402,CB1011-2,SAM-402_CB1011-2_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.95,0.11,12.92,1.15,0.04,0.2,1.38,3.91,2.5,0.03,0,0,98.1966,77.34,0.11,13.16,1.17,0.05,0.21,1.4,3.98,2.54,0.03,0,0,100,0.841133954,-0.915820173,-0.599835745,-0.759536493,-0.539302393,-0.728694315,-0.704372957,-0.796431866,-0.273286854,0.839707595,-1.038246505,-0.584369669,-0.770840238,-0.355034398,-0.725761698,-0.681660981,-0.76351483,-0.196676823,-2.067833098,-0.050289667,0.171790061,0.207331381,,,,,,,,
SAM-403,CB1011-3,SAM-403_CB1011-3_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,74.37,0.1,12.23,1.31,0.04,0.22,1.44,3.94,2.66,0.03,0,0,96.3245,77.2,0.11,12.7,1.36,0.04,0.22,1.49,4.09,2.76,0.03,0,0,100,0.816298429,-0.93286958,-0.883364283,-0.642526618,-0.601099641,-0.697503511,-0.603673596,-0.68237843,-0.020474629,0.815865039,-1.076049589,-0.882129832,-0.603161293,-0.43986419,-0.671526185,-0.559144751,-0.64226783,0.059438059,-2.026894703,0.125481539,0.176828403,0.040541672,,,,,,,,
SAM-404,CB1011-4,SAM-404_CB1011-4_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.75,0.09,11.99,1.1,0.04,0.17,1.22,3.78,2.65,0.03,0,0,96.8256,78.23,0.1,12.38,1.14,0.04,0.17,1.26,3.91,2.74,0.03,0,0,100,0.997328249,-0.954050338,-1.078064575,-0.781572864,-0.605085667,-0.7913799,-0.858986339,-0.87147898,-0.046684669,0.989161676,-1.125004751,-1.089760907,-0.803856684,-0.445506273,-0.84197678,-0.877705354,-0.844205027,0.033372615,-2.494309657,0.21139396,0.33439502,-0.014831308,,,,,,,,
SAM-405,CB1011-5,SAM-405_CB1011-5_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,74.61,0.1,12.19,1.19,0.04,0.2,1.4,3.88,2.63,0.03,0,0,96.2734,77.5,0.11,12.66,1.24,0.04,0.21,1.45,4.03,2.74,0.03,0,0,100,0.867854545,-0.931843313,-0.908346167,-0.718635596,-0.623404438,-0.720736566,-0.645646996,-0.739355114,-0.050457964,0.865335603,-1.07373557,-0.908624204,-0.710826076,-0.471723408,-0.711718932,-0.609749555,-0.702632956,0.029611192,-2.156832878,0.109656832,0.181825858,0.057592551,,,,,,,,
SAM-406,CB1011-6,SAM-406_CB1011-6_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.58,0.1,12.59,1.21,0.04,0.2,1.44,3.75,2.67,0.03,0,0,97.6115,77.43,0.11,12.9,1.23,0.04,0.21,1.48,3.84,2.74,0.03,0,0,100,0.856920076,-0.9350375,-0.76266649,-0.720171418,-0.583001894,-0.727737226,-0.621431256,-0.941679257,-0.048837282,0.854851269,-1.080954686,-0.754720493,-0.713051034,-0.414517849,-0.724065013,-0.580475488,-0.920358386,0.031227052,-2.148177469,0.122096053,0.254647798,0.285214743,,,,,,,,
SAM-407,CB1011-7,SAM-407_CB1011-7_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.93,0.09,12.58,1.18,0.05,0.2,1.38,3.86,2.66,0.03,0,0,97.9638,77.5,0.09,12.84,1.21,0.05,0.21,1.41,3.94,2.72,0.03,0,0,100,0.869333027,-0.962046761,-0.798784662,-0.737553534,-0.450482482,-0.728355131,-0.695168818,-0.837100256,-0.071352262,0.866752899,-1.144123117,-0.792744251,-0.738385798,-0.240711522,-0.725160164,-0.670302342,-0.807149933,0.008741554,-2.141731772,0.132201014,0.317818015,0.212146102,,,,,,,,
SAM-408,CB1011-8,SAM-408_CB1011-8_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.77,0.11,12.78,1.21,0.03,0.22,1.54,3.9,2.44,0.02,0,0,98.0135,77.31,0.11,13.04,1.23,0.03,0.22,1.57,3.98,2.49,0.02,0,0,100,0.834340452,-0.92710906,-0.675115762,-0.721901507,-0.686943352,-0.69989485,-0.516281816,-0.794744107,-0.331684692,0.833187869,-1.063126196,-0.662910203,-0.715560035,-0.566661572,-0.675609719,-0.455785008,-0.761708577,-0.257400092,-2.057644841,-0.206013312,0.081568885,0.202238356,,,,,,,,
SAM-409,CB1011-9,SAM-409_CB1011-9_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.56,0.1,12.29,1.34,0.03,0.17,1.44,3.59,2.54,0.04,0,0,97.0971,77.82,0.1,12.66,1.38,0.03,0.18,1.49,3.69,2.62,0.04,0,0,100,0.924240385,-0.945237291,-0.906621701,-0.630517691,-0.681575749,-0.778087083,-0.609577679,-1.094611194,-0.189307939,0.919333729,-1.104349375,-0.906793962,-0.586613515,-0.558380665,-0.816433259,-0.56622416,-1.088601726,-0.110410851,-2.323066044,-0.005226061,0.348947968,0.253240532,,,,,,,,
SAM-410,CB1011-10,SAM-410_CB1011-10_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,74.77,0.11,12.21,1.18,0.03,0.17,1.47,4.08,2.46,0.02,0,0,96.4968,77.49,0.11,12.65,1.22,0.03,0.18,1.53,4.23,2.54,0.03,0,0,100,0.866334258,-0.925174389,-0.913721266,-0.726659805,-0.737174691,-0.784024043,-0.5629657,-0.538340482,-0.270539762,0.863878153,-1.058821067,-0.914330315,-0.722474894,-0.646816054,-0.827776899,-0.510670283,-0.491436305,-0.193835397,-2.168925995,-0.156586347,-0.045938763,-0.067518763,,,,,,,,
SAM-411,CB1011-11,SAM-411_CB1011-11_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.66,0.09,12.18,1.16,0.04,0.17,1.41,3.92,2.74,0.03,0,0,97.4069,77.67,0.1,12.5,1.19,0.04,0.18,1.45,4.03,2.82,0.03,0,0,100,0.899459477,-0.957763077,-1.003803066,-0.750738419,-0.589758094,-0.780643758,-0.65251832,-0.74622846,0.03999258,0.895615893,-1.133835468,-1.010256123,-0.757794647,-0.42392899,-0.82130563,-0.618095833,-0.709942589,0.119163178,-2.270370692,0.187900602,0.198757895,0.08243247,,,,,,,,
SAM-412,CB1011-12,SAM-412_CB1011-12_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,74.96,0.1,12.14,1.16,0.05,0.24,1.46,3.83,2.57,0.03,0,0,96.5409,77.65,0.1,12.58,1.2,0.05,0.24,1.51,3.97,2.66,0.04,0,0,100,0.894578786,-0.936992115,-0.956294385,-0.744225499,-0.468484881,-0.659447003,-0.581352066,-0.807941681,-0.135239589,0.890942049,-1.085397034,-0.959595368,-0.748186297,-0.263235688,-0.60807256,-0.532492231,-0.775842526,-0.055508286,-2.103650366,0.012030021,0.389182554,0.132874116,,,,,,,,
SAM-413,CB1011-13,SAM-413_CB1011-13_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,74.71,0.09,12.23,1.21,0.04,0.19,1.42,3.97,2.65,0.03,0,0,96.5521,77.38,0.1,12.67,1.25,0.04,0.19,1.48,4.11,2.74,0.03,0,0,100,0.84703258,-0.951652147,-0.901805272,-0.709371241,-0.563909191,-0.750180327,-0.621967087,-0.653710534,-0.041350764,0.84536719,-1.119341962,-0.901683177,-0.697450491,-0.388240125,-0.764430825,-0.581120914,-0.612047355,0.038685884,-2.114698267,0.10528328,0.155507324,0.061898184,,,,,,,,
SAM-414,CB1011-14,SAM-414_CB1011-14_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.94,0.1,12.09,1.16,0.04,0.19,1.19,3.93,2.62,0.04,0,0,97.2964,78.05,0.1,12.43,1.19,0.04,0.19,1.22,4.04,2.7,0.05,0,0,100,0.965593835,-0.95060217,-1.048502477,-0.750338419,-0.587846114,-0.757444977,-0.907772033,-0.728890789,-0.09780345,0.958865496,-1.116872704,-1.058065072,-0.757203347,-0.421259575,-0.777766741,-0.94177004,-0.691515847,-0.017779053,-2.395469205,0.186525687,0.29853049,-0.147368755,,,,,,,,
SAM-415,CB1011-15,SAM-415_CB1011-15_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.42,0.1,12.16,1.06,0.04,0.21,1.3,3.96,2.65,0.03,0,0,96.9301,77.81,0.1,12.54,1.09,0.04,0.22,1.34,4.09,2.73,0.03,0,0,100,0.923831595,-0.941495104,-0.978297356,-0.812957422,-0.544956665,-0.705370232,-0.774795801,-0.683835038,-0.055272101,0.91894265,-1.095704273,-0.98303868,-0.851758482,-0.362600904,-0.685004974,-0.769695842,-0.643806029,0.024808915,-2.255329494,0.153448381,0.248629789,-0.035667152,,,,,,,,
SAM-416,CB1011-16,SAM-416_CB1011-16_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,74.86,0.1,12.16,1.1,0.04,0.22,1.34,3.87,2.51,0.03,0,0,96.2243,77.79,0.1,12.64,1.15,0.04,0.23,1.39,4.02,2.61,0.03,0,0,100,0.920389238,-0.945278372,-0.921116562,-0.776118583,-0.566014373,-0.682006434,-0.716982331,-0.755660628,-0.198087475,0.9156492,-1.104444686,-0.92218427,-0.795638467,-0.391115013,-0.645346254,-0.697276225,-0.719983196,-0.119372436,-2.218097512,0.002847938,0.280958338,0.019595893,,,,,,,,
SAM-417,CB1011-17,SAM-417_CB1011-17_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.12,0.09,12.16,1.05,0.04,0.18,1.32,3.94,2.59,0.03,0,0,96.5204,77.83,0.09,12.6,1.09,0.05,0.18,1.37,4.08,2.69,0.03,0,0,100,0.926150341,-0.959464347,-0.945658834,-0.812586931,-0.535908514,-0.76946016,-0.745386327,-0.692342409,-0.106570568,0.92116086,-1.137908363,-0.948275615,-0.851186755,-0.350510537,-0.800130354,-0.732684879,-0.652795181,-0.026594217,-2.292860631,0.093162844,0.210490986,0.031372463,,,,,,,,
SAM-418,CB1011-18,SAM-418_CB1011-18_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.6,0.09,11.69,0.96,0.05,0.15,1.2,3.69,2.65,0.03,0,0,96.1054,78.67,0.09,12.16,1,0.05,0.16,1.24,3.84,2.75,0.03,0,0,100,1.074455948,-0.969207846,-1.209928189,-0.868011925,-0.493489488,-0.817656149,-0.881208912,-0.943942732,-0.032096998,1.062648839,-1.161566808,-1.231901339,-0.9384854,-0.295046824,-0.894098837,-0.906748263,-0.922824854,0.047893173,-2.643538157,0.231368249,0.483881318,0.034017775,,,,,,,,
SAM-419,CB1011-19,SAM-419_CB1011-19_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,76.08,0.1,12.6,1.25,0.04,0.19,1.36,3.76,2.51,0.04,0,0,97.937,77.68,0.1,12.86,1.28,0.05,0.2,1.39,3.84,2.56,0.04,0,0,100,0.900943358,-0.939574436,-0.782142468,-0.694575023,-0.533856678,-0.749242213,-0.719970191,-0.938581411,-0.247777905,0.897036722,-1.091295318,-0.775213181,-0.676248423,-0.347781962,-0.762718611,-0.70098561,-0.916983846,-0.170343201,-2.205935309,-0.009492094,0.348274881,0.195964619,,,,,,,,
SAM-420,CB1011-20,SAM-420_CB1011-20_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.43,0.1,12.31,0.96,0.04,0.21,1.2,3.99,2.63,0.05,0,0,96.9175,77.83,0.1,12.7,0.99,0.04,0.21,1.24,4.12,2.72,0.06,0,0,100,0.926014403,-0.947521722,-0.884502804,-0.874804432,-0.588419351,-0.715166213,-0.885709073,-0.647819833,-0.074966841,0.921030822,-1.109663047,-0.883336356,-0.949440806,-0.422059393,-0.701974804,-0.912657754,-0.605850123,0.005124149,-2.323403541,0.179893706,0.146203238,-0.068683196,,,,,,,,
SAM-421,CB1011-21,SAM-421_CB1011-21_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.3,0.11,12.3,1.11,0.05,0.19,1.5,3.72,2.56,0.03,0,0,96.8589,77.74,0.11,12.69,1.15,0.05,0.2,1.55,3.84,2.64,0.03,0,0,100,0.91182385,-0.926743665,-0.886182767,-0.775775686,-0.497013211,-0.74809201,-0.543610053,-0.940825644,-0.160757652,0.90745253,-1.062311764,-0.885116823,-0.795122835,-0.299580731,-0.760622353,-0.487824397,-0.919428399,-0.081358929,-2.192796504,-0.020917993,0.357934831,0.299371372,,,,,,,,
SAM-422,CB1011-22,SAM-422_CB1011-22_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.63,0.1,11.73,0.97,0.05,0.21,1.12,3.62,2.66,0.02,0,0,96.1256,78.68,0.11,12.2,1.01,0.05,0.22,1.17,3.77,2.77,0.02,0,0,100,1.077024259,-0.929902125,-1.186797111,-0.866093151,-0.451054888,-0.705437948,-0.967467081,-1.017267916,-0.009869616,1.065092401,-1.069372487,-1.206877009,-0.935401246,-0.24142298,-0.685121568,-1.021740056,-1.003106171,0.069953897,-2.566503448,0.309113199,0.63157967,-0.014368601,,,,,,,,
SAM-423,CB1011-23,SAM-423_CB1011-23_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,76.08,0.22,11.94,1.08,0.04,0.08,1.52,3.69,2.66,0.05,0,0,97.3671,78.14,0.23,12.26,1.11,0.04,0.09,1.56,3.79,2.73,0.05,0,0,100,0.981325573,-0.6746001,-1.152990029,-0.798220689,-0.548833432,-0.950740152,-0.522082522,-0.995662402,-0.058733614,0.97388862,-0.600863668,-1.170372486,-0.82913387,-0.367810427,-1.204980065,-0.462564742,-0.979373841,0.021353649,-2.346173041,0.080301114,0.364339805,0.241149367,,,,,,,,
SAM-424,CB1011-24,SAM-424_CB1011-24_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.57,0.09,12.51,1.17,0.06,0.22,1.38,3.95,2.58,0.04,0,0,97.5763,77.44,0.1,12.83,1.2,0.06,0.23,1.42,4.04,2.65,0.04,0,0,100,0.858772462,-0.957677061,-0.805654596,-0.739981014,-0.373146532,-0.691858764,-0.687302605,-0.728264761,-0.152703676,0.856627693,-1.133629989,-0.79998653,-0.7419466,-0.147249378,-0.661933944,-0.660621056,-0.690851204,-0.073188253,-2.050817836,0.051056579,0.342784827,0.139913429,,,,,,,,
SAM-425,PY-931-1,SAM-425_PY-931-1_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.6,0.11,12.75,1.27,0.05,0.21,1.46,4,2.72,0.03,0,0,98.1925,76.99,0.11,12.99,1.29,0.05,0.21,1.49,4.07,2.77,0.03,0,0,100,0.778636508,-0.927321082,-0.706543636,-0.686055076,-0.463752401,-0.722696668,-0.6063718,-0.695301204,-0.013250242,0.779667349,-1.063599064,-0.695808883,-0.664127489,-0.257284511,-0.715164359,-0.56237853,-0.655923639,0.066603607,-1.930832978,0.14717504,0.181938895,0.199583691,,,,,,,,
SAM-426,PY-931-2,SAM-426_PY-931-2_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.12,0.11,12.6,1.22,0.04,0.2,1.38,3.88,2.62,0.03,0,0,97.1979,77.29,0.11,12.96,1.26,0.04,0.21,1.42,4,2.69,0.03,0,0,100,0.830986409,-0.92600867,-0.722924317,-0.706544539,-0.559685339,-0.722531232,-0.688611248,-0.777164775,-0.099035628,0.829968393,-1.060675414,-0.712981963,-0.693384887,-0.382488408,-0.71487322,-0.66222999,-0.742916782,-0.019017228,-2.069430315,0.102661923,0.187831119,0.15308001,,,,,,,,
SAM-427,PY-931-3,SAM-427_PY-931-3_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.23,0.11,12.14,1.22,0.03,0.22,1.42,3.85,2.54,0.04,0,0,96.7928,77.72,0.11,12.54,1.26,0.03,0.22,1.47,3.98,2.62,0.04,0,0,100,0.908235178,-0.925233626,-0.977461535,-0.706486096,-0.715876588,-0.695696686,-0.629304935,-0.791637693,-0.183791697,0.90401758,-1.058952627,-0.982147532,-0.693300905,-0.612218831,-0.668448672,-0.589970163,-0.758385025,-0.104786939,-2.231610312,-0.026184904,0.199636032,-0.008247726,,,,,,,,
SAM-428,PY-931-4,SAM-428_PY-931-4_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,74.85,0.11,12.35,1.27,0.04,0.21,1.49,3.83,2.45,0.02,0,0,96.6256,77.47,0.11,12.78,1.31,0.04,0.22,1.55,3.96,2.54,0.02,0,0,100,0.862521933,-0.921444576,-0.831719698,-0.669132151,-0.641079903,-0.700872156,-0.543487382,-0.816222718,-0.278459506,0.860223041,-1.050570056,-0.827493217,-0.640237326,-0.497485988,-0.677282046,-0.487680014,-0.784722601,-0.202030741,-2.086339324,-0.135877937,0.220964271,0.127942548,,,,,,,,
SAM-429,PY-931-5,SAM-429_PY-931-5_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,75.17,0.1,11.88,1.32,0.04,0.22,1.5,3.85,2.57,0.02,0,0,96.6771,77.75,0.11,12.29,1.36,0.04,0.23,1.56,3.98,2.66,0.02,0,0,100,0.913070706,-0.928994001,-1.135282836,-0.640145666,-0.602978095,-0.683052149,-0.532263448,-0.79562714,-0.135982367,0.908645871,-1.067337544,-1.151285282,-0.599871344,-0.442520347,-0.647097688,-0.474491204,-0.76265356,-0.056259214,-2.16169493,-0.014932005,0.376492225,-0.006058508,,,,,,,,
SAM-430,PY-931-6,SAM-430_PY-931-6_R1_Reclus,Acid,Rhyolite,SAM,R1,0,Reclus,74.93,0.12,12.28,1.14,0.04,0.2,1.69,3.82,2.35,0.03,0,0,96.5977,77.57,0.12,12.71,1.18,0.04,0.21,1.75,3.96,2.43,0.04,0,0,100,0.880457654,-0.899546746,-0.874936126,-0.757655525,-0.617116653,-0.726406981,-0.31887906,-0.815568954,-0.396850373,0.877414681,-1.003353516,-0.873201017,-0.768044747,-0.462670481,-0.721710354,-0.231395279,-0.784021222,-0.325898567,-2.069017672,-0.356549514,0.206195012,0.25060042,,,,,,,,
