ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Nothofagus_dombeyi_type,Nothofagus_obliqua_type,Maytenus,Misodendrum,Poaceae,Empetrum_rubrum,Asteraceae_Subf._Asteroideae,Gunnera,Acaena,Plantago,Litorella,Galium_type,Polypodiaceae,Trees_&_Shrubs,Dwarf_Shrubs,Cyperaceae,Aquatics_&_Spores,Algae,Tephra_concentration,Charcoal_concentration,TLP_concentration,Pediastrum_concentration
Unit,cm,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3
LP08_P34,LP08-1C,26,27,198.5,3405.47,4287.8,3902.89,3892.39,0.04054739,82.2,0.6,0,2,9.9,0.6,1.8,0,0.9,0,0.6,0,1.7,84.8,15.2,8.3,2,13,3285.8,0,280939.8,41894.5
LP08_P35,LP08-1C,34,35,206.5,3674.76,4405.78,4109.39,4089.69,0.041339396,80.4,0.5,0.3,3.1,12.8,0,1.8,0.3,0.5,0,0,0,2.3,84.3,15.7,15.3,2.3,24.9,5932.8,7119.3,454450.8,150692.6
LP08_P36,LP08-1C,42,43,214.5,3972.81,4502.01,4297.13,4283.21,0.048614487,84.1,0.9,0,1.8,7.6,0.6,1.5,0,1.5,0,0,0.9,0.6,86.9,13.1,10.7,1.2,11.6,0,4107.3,268617.9,35322.8
LP08_P37,LP08-1C,50,51,222.5,4263.48,4596.7,4446.64,4447.77,0.074661689,88.8,0.3,0,2.3,6.5,0,1,0,0.5,0,0,0,0.8,91.4,8.6,5.7,1,11.3,2373.1,2373.1,455637.3,58141.2
LP08_P38,LP08-1C,58,59,230.5,4387.51,4704.51,4554.75,4554.92,0.112060513,77.1,0.3,0,1.3,17.3,0.3,1,0,0,0,0,1,1.9,78.7,21.3,15.2,2.6,10.4,1256.4,0,189081.1,21986.2
LP08_P39,LP08-1C,66,67,238.5,4480.02,4771.02,4626.94,4626.31,0.117837679,79.6,0.8,0.3,2.7,12.9,0,2.4,0,0.5,0,0.5,0.3,1.6,83.4,16.6,11,1.8,10.6,8899.2,1779.8,331938.9,39156.3
LP08_P40,LP08-1C,74,75,246.5,4553.52,4815.54,4694.56,4694.2,0.101820033,76.3,1.5,0,2.1,17,0,0.6,0,0.9,0,0,0,0.9,80.9,19.1,14.5,0.9,26.9,5025.4,0,206670.1,76009.4
LP08_P41,LP08-1C,82,83,254.5,4623.44,4912.7,4774.19,4772.77,0.093863663,70.4,1.4,0.3,0.9,18.4,0.9,2.9,0,3.4,0,0,0.3,4.6,73.6,26.4,19.8,5.7,16.9,27142.5,1779.8,154845.5,31592
LP08_P42,LP08-1C,90,91,262.5,4681.08,5065.61,4854.83,4858,0.099632931,64.8,0.3,0,2.8,24.8,0,2.4,0,2.4,0,0.6,0.3,1.8,68.2,31.8,18,2.1,20.4,2373.1,2966.4,194001.8,49835.3
LP08_P43,LP08-1D,19,20,270.1,4728.03,5168.35,4929.53,4934.28,0.095648015,78.4,0,0.4,2.5,14.5,0.7,1.1,0,1.1,0,0,0.7,4.7,81.3,18.7,12.7,5.4,9.9,5339.5,2669.8,188884.8,20690.6
