ID,depth,mean,kcps,MSE,Si,S,K,Ca,Ti,Cr,Mn,Fe,Co,Zn,As,Br,Rb,Sr,Zr,inc,coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
LP-1C-72,10.25,469.94,20718,1.21,0.125808075,0.079355863,0.240003097,2.71551891,0.286455309,0.056129757,0.998722564,19.15573104,0.112259513,0.085162389,0,0.104517478,0.01741958,2.580033291,1.397437386,60.06851701,9.927224867,6.050887112,0.165265023,1.428658334,6A-C,Unit 6
LP-1C-73,10.3,472.52,21242,1.21,0.138680868,0.075812208,0.223738466,2.925241767,0.393853664,0.055472347,0.887557553,19.77034448,0.035132486,0.059170504,0.040679721,0.567667018,0.064717738,2.605351232,1.484809822,58.64721436,9.779774782,5.996785782,0.166755998,1.461411663,6A-C,Unit 6
LP-1C-74,10.35,475.1,21557,1.27,0.138249686,0.100049115,0.19646008,2.985101777,0.398377385,0.076401142,0.84950794,19.77516235,0.10186819,0,0,0.60393284,0.172812108,2.624924963,1.375220563,58.38138723,9.801175122,5.956570156,0.167881847,1.466650659,6A-C,Unit 6
LP-1C-75,10.4,477.68,21972,1.3,0.145657256,0.035964755,0.201402625,3.14871426,0.393814062,0.012587664,0.753461608,22.01762273,0.041359468,0,0,0.442366481,0.127674879,2.647005934,1.350476533,57.39435353,9.449739256,6.073644148,0.1646458,1.496018509,6A-C,Unit 6
LP-1C-76,10.45,480.26,21045,1.21,0.103345821,0.070127521,0.221455331,3.292302582,0.45767435,0.0332183,0.828612029,23.96515769,0.208537103,0,0,0.30450108,0,2.371417499,1.286286379,55.48194216,9.354642257,5.930952851,0.168606972,1.542339111,6A-C,Unit 6
LP-1C-77,10.5,482.84,19237,1.1,0.097612559,0.04880628,0.256232969,3.141904258,0.483995607,0.0406719,0.732094196,23.50429089,0.183023549,0,0,0.162687599,0.08541099,2.617236751,1.415382112,55.21210396,9.956481067,5.545343137,0.180331492,1.534481683,6A-C,Unit 6
LP-1C-78,10.55,485.42,17893,1.23,0.151047481,0.096320133,0.240800333,2.922440402,0.446575163,0.017512751,0.700510059,23.00737725,0.13353473,0,0,0.12258926,0,2.970600468,1.236838073,55.51323307,10.14863948,5.470017256,0.18281478,1.522953826,6A-C,Unit 6
LP-1C-79,10.6,488,17557,1.26,0.134476753,0.063931571,0.178567492,3.39719142,0.38138489,0,0.56877053,23.03961553,0,0,0.114635921,0.575384141,0.07936333,3.28916911,1.602698353,54.14122264,10.23346046,5.290607497,0.189014211,1.553405705,6A-C,Unit 6
LP-1C-80,10.65,490.58,17794,1.29,0.172571745,0.080959584,0.208790506,3.315081918,0.547542451,0.008522061,0.558195027,24.02369133,0.068176492,0,0,0.379231736,0.023435669,3.263949549,1.533971068,53.02213605,10.24777894,5.174012474,0.193273597,1.58053002,6A-C,Unit 6
LP-1C-81,10.7,493.16,17775,1.14,0.165375577,0.023935939,0.187135521,3.087736095,0.426494908,0,0.685438245,22.67821394,0,0.043519889,0,0.43737488,0.09356776,3.810166246,1.558012011,54.60440421,9.987814431,5.467102397,0.18291225,1.548174101,6A-C,Unit 6
LP-1C-82,10.75,495.73,17855,1.18,0.176045135,0.033936412,0.235433856,3.001251405,0.453899506,0.036057437,0.530256432,23.02797633,0.086962055,0.182408213,0,0.296943602,0,3.826330413,1.503807241,54.02464632,9.985789128,5.410152931,0.184837659,1.56224527,6A-C,Unit 6
LP-1C-83,10.8,498.31,18542,1.21,0.078410873,0.012063211,0.148779605,3.160561341,0.418191323,0.022115887,0.647392336,25.72680848,0,0.032168563,0.054284451,0.309622421,0.295548675,3.777795649,1.361132333,51.60641763,10.16928706,5.074733096,0.197054698,1.618759357,6A-C,Unit 6
LP-1C-84,10.85,500.89,18255,1.23,0.1290833,0.052049718,0.214444838,3.075097333,0.383085924,0.014573921,0.720368096,23.39114322,0.164477109,0.170723075,0,0.383085924,0.141575233,3.889154921,1.390768462,52.96579293,10.51196103,5.038621509,0.198466981,1.575355046,6A-C,Unit 6
LP-1C-85,10.9,503.47,17540,1.24,0.164253959,0.05475132,0.341648234,2.868969142,0.3153676,0.061321478,0.88259127,21.92242833,0.045991108,0.050371214,0,0.221195331,0.258426228,3.760320624,1.686340641,54.49508333,10.39618055,5.24183695,0.190772817,1.541039487,6A-C,Unit 6
LP-1C-86,10.95,506.05,16618,1.23,0.155020552,0.063417499,0.357017029,3.31884909,0.310041104,0.01879037,0.761009982,19.96946565,0.014092777,0,0,0.483852026,0.230182032,4.147974163,1.540810335,55.35408103,10.95243688,5.054042462,0.197861416,1.508147361,6A-C,Unit 6
LP-1C-87,11,508.63,16340,1.2,0.145877232,0.05788779,0.442262718,3.494107023,0.655289786,0.078727395,0.849792762,23.1713247,0,0,0,0.428369648,0.127353139,4.086877996,1.831569685,51.96702711,10.41980226,4.987333333,0.200507953,1.602902424,6A-C,Unit 6
LP-1C-88,11.05,512.01,15970,1.27,0.190983684,0.049514288,0.537583703,3.666415166,0.648401396,0.018862586,1.04215788,24.25492785,0.172121098,0.11553334,0,0.275865321,0.049514288,3.628689993,1.322738847,51.0845987,10.09855701,5.058603782,0.197683006,1.63443678,6A-C,Unit 6
LP-1C-89,11.1,515.39,16745,1.23,0.195090967,0.034027494,0.496801416,3.829227349,0.508143914,0.027221995,0.936890341,24.65859081,0,0,0.029490495,0,0.272219954,3.652284379,1.488135747,51.52216324,10.24908126,5.027003099,0.198925678,1.618876239,6A-C,Unit 6
LP-1C-90,11.15,518.76,17335,1.23,0.220679607,0.079273257,0.55919784,3.734413164,0.593478168,0.023567725,0.998414535,25.13605005,0.194969362,0.09212838,0,0.492779706,0.171401637,4.201482624,1.478339118,49.92286926,9.649912157,5.173401421,0.193296425,1.678618953,6A-C,Unit 6
LP-1C-91,11.2,522.14,17590,1.19,0.136355889,0.057525141,0.441026078,3.624083859,0.553945799,0.040480655,0.994971877,25.88205216,0.125703085,0.059655701,0,0.357934208,0.017044486,4.169507414,1.482870291,50.09587523,9.59817624,5.219311876,0.191596138,1.675208794,6A-C,Unit 6
LP-1C-92,11.25,525.52,17686,1.25,0.227809476,0.045979894,0.403369072,3.743181391,0.413819048,0.039709909,1.0867975,25.75919075,0.22153949,0.060609861,0,0.271699375,0.10867975,3.486111982,1.419106736,50.46293394,10.11766673,4.987605867,0.200496997,1.650693438,6A-C,Unit 6
LP-1C-93,11.3,528.89,17222,1.37,0.164151104,0.106591626,0.383729854,4.020636139,0.471134988,0.061823143,1.085102754,26.35797732,0.213183252,0,0,0.385861687,0.153491942,3.773343566,1.592478895,48.84241494,10.02600836,4.871571337,0.205272576,1.698703556,6A-C,Unit 6
