depth,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Br,Rb,Sr,Zr,Ba,Mo inc,Mo coh
125.1,0.49797423,0.023763705,0.098942083,1.12378927,1.016295307,1.109715878,0.375152714,1.102112812,7.834181431,0.388190224,0.33313803,0.055770271,0.886695047,1.099586477,0.954762146,0.31227207,4.577502704,2.46784624
125.2,0.470895297,0.023763705,0.054982693,1.159700075,1.051045545,1.170933514,0.397126157,1.135771983,8.181092072,0.370313377,0.349972328,0,0.835089373,1.073460413,0.865800247,0.326094263,4.122555566,2.204890303
125.3,0.434617512,0.042719442,0,1.135439245,1.060994156,1.133769828,0.416986774,1.098779267,8.171258077,0.363119875,0.366997403,0.137074353,0.84012713,1.085861513,0.856973562,0.366087826,4.175271364,2.220943661
125.4,0.436811472,0.038864147,0.031662697,1.117921205,1.02257648,1.095912293,0.382479853,1.106111788,8.245190974,0.398513759,0.365024282,0.221129476,0.904390049,1.026715273,0.753138079,0.358322035,4.102488202,2.155374196
125.5,0.487580048,1.57E-27,0.108951511,1.159257191,1.024750174,1.118294637,0.358789454,1.121446636,8.290837517,0.347742687,0.314169341,0.153737787,0.876059735,1.022767344,0.794872432,0.313454514,4.03142332,2.15367509
125.6,0.470280942,0.083337515,0.069256236,1.181749636,1.064949786,1.174752129,0.397733678,1.141729459,8.26234337,0.354151139,0.322391772,0,0.847165211,1.045961118,0.797488433,0.30911329,4.040104908,2.174542845
125.7,0.529610791,0.053783082,0.064373665,1.201142012,1.090142739,1.199385824,0.382928184,1.120828269,8.220668825,0.400436925,0.362244989,0,0.841503136,1.053286021,0.8207912,0.33071421,4.073971198,2.199091508
125.8,0.466329387,0.033014651,0.167471173,1.14119438,1.049461669,1.12206911,0.378049072,1.123536168,8.264760321,0.392170367,0.3373347,0.156435032,0.860216253,1.029375586,0.817263093,0.327197572,4.06121443,2.157109405
125.9,0.461468179,0.019061583,0.16852067,1.151495031,1.044037391,1.138134711,0.376571044,1.128537518,8.29969186,0.327523875,0.341396057,0.101320555,0.879207139,0.983725428,0.798465633,0.330795619,3.995896421,2.114771575
126,0.506618486,0.049861592,0.043027234,1.227891575,1.063005179,1.180848622,0.344828214,1.178299501,8.298452965,0.358890977,0.30440019,0.144912668,0.870488527,1.027410724,0.803319864,0.332126278,3.96737915,2.089536608
126.1,0.486701915,0.065167071,0.141358597,1.18885617,1.043157812,1.137646911,0.381112935,1.173567127,8.350597374,0.399401063,0.314079812,0.099605208,0.825605293,0.982906813,0.810202863,0.333143758,3.907777458,2.106856785
126.2,0.514674171,0.048377533,0.097200172,1.202877254,1.082841989,1.176305321,0.390937997,1.177212718,8.273122516,0.435547247,0.342009637,4.02E-27,0.840003536,1.039710738,0.854702617,0.345633664,3.964385178,2.161250998
126.3,0.573855203,0.088825293,0.055838626,1.227725224,1.113968547,1.199774687,0.370176905,1.146155711,8.158761266,0.41791166,0.294407214,0.05646642,0.879401273,1.114566876,0.854430102,0.323041105,4.086893599,2.221189817
126.4,0.555759799,0.100534286,0.07806907,1.225237687,1.139242746,1.175807495,0.364915292,1.153153248,8.187519145,0.402742463,0.337226725,0.05646642,0.866830358,1.07770583,0.850545217,0.351492546,4.085707786,2.201346193
126.5,0.570429695,0.069760613,0.048048782,1.267722149,1.142042421,1.201163627,0.420271773,1.172408545,8.24109464,0.37170172,0.34559593,0.075337534,0.864010604,1.050220829,0.825763242,0.330278293,3.993493439,2.14645736
