ID,depth,mean,kcps,MSE,S,K,Ca,Ti,Mn,Fe,Co,Zn,As,Br,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
PAT1B-I_2mm_556,132,2640.75,22639.3,1.482,0.081209,0.0949396,0.389599,0.16116,0.590539,14.2345,0.192501,0,0.0123057,0.770449,0.133988,0.537272,1.70718,66.9703,13.2148,5.06785,0.19733,1.24736,6A,Unit 6
PAT1B-I_2mm_561,132.9,2652.16,22819.3,1.394,0.0674565,0.102605,0.40493,0.148716,0.630918,14.9222,0.249557,0.0168935,0.0833605,0.66201,0.210782,0.458867,1.87517,66.3343,13.136,5.05028,0.19804,1.25868,6A,Unit 6
PAT1B-I_2mm_566,133.8,2663.57,22938.8,1.358,0.0556444,0.108272,0.383379,0.153864,0.648027,14.4168,0.175966,0.0154,0.146119,0.702305,0.22244,0.587985,1.93799,66.5632,13.2265,5.03279,0.198709,1.25341,6A,Unit 6
PAT1B-I_2mm_571,134.7,2674.98,22569.7,1.352,0.0764411,0.112985,0.404558,0.163773,0.682238,14.4506,0.137776,0.0236774,0.031969,0.745506,0.147267,0.449009,1.90246,66.457,13.4613,4.94005,0.202528,1.25165,6A,Unit 6
PAT1B-I_2mm_576,135.6,2686.39,22875.7,1.416,0.0602408,0.100917,0.44563,0.15087,0.734947,14.5796,0.178675,0.0210919,0.102285,0.817948,0.175963,0.642022,1.75411,66.5865,12.949,5.14282,0.194458,1.25766,6A,Unit 6
PAT1B-I_2mm_581,136.5,2697.8,22565.6,1.532,0.0639958,0.105597,0.414777,0.133143,0.692027,16.4265,0.168946,0,0.121542,0.810539,0.116904,0.454977,1.65703,65.214,12.9282,5.04492,0.198265,1.27995,6A,Unit 6
PAT1B-I_2mm_586,137.4,2709.21,22456.8,1.304,0.0722391,0.0808169,0.394463,0.170466,0.674378,14.4688,0.200041,0.0292091,0.175586,0.845569,0.099957,0.589025,1.77881,66.5373,13.0548,5.0999,0.196172,1.25815,6A,Unit 6
PAT1B-I_2mm_591,138.3,2720.61,23327.9,1.43,0.0631417,0.104414,0.387811,0.173298,0.733617,17.203,0.219497,0.0162583,0.0877424,0.788163,0.0667643,0.554756,1.66147,64.4782,12.8143,5.03451,0.198723,1.29455,6A,Unit 6
PAT1B-I_2mm_596,139.2,2732.02,22100.3,1.47,0.0553032,0.0935232,0.398376,0.160809,0.65231,15.0807,0.163487,0.00616977,0.175045,0.64071,0.0793238,0.405969,1.81703,66.3789,13.3653,4.96671,0.201377,1.25447,6A,Unit 6
PAT1B-I_2mm_601,140.1,2743.44,20784.3,1.32,0.0426625,0.10959,0.426595,0.183682,0.817695,14.9224,0.197784,0.0453384,0.191172,0.794431,0.0866255,0.415855,1.88323,66.0359,13.2281,4.99089,0.200393,1.26481,6A,Unit 6
PAT1B-I_2mm_606,141,2754.92,22740.2,1.414,0.0666541,0.0997326,0.412237,0.158275,0.787267,14.7453,0.199147,0.00993755,0.141857,0.676115,0.0679966,0.477809,1.70808,66.5414,13.1851,5.04703,0.198144,1.25451,6A,Unit 6
PAT1B-I_2mm_611,142,2767.68,21395.6,1.376,0.0565649,0.0683201,0.352167,0.13366,0.632232,13.6862,0.20683,0.00302452,0.0522525,0.513511,0.0401542,0.486065,1.85343,67.6948,13.5014,5.01675,0.199435,1.23329,6A,Unit 6
PAT1B-I_2mm_616,142.9,2779.17,22589.1,1.304,0.0600309,0.0764827,0.366596,0.128005,0.695555,13.2594,0.122545,0.0124315,0.0791568,0.671254,0.0849221,0.359233,1.89719,68.207,13.2933,5.13144,0.194929,1.22715,6A,Unit 6
PAT1B-I_2mm_621,143.8,2790.65,23212.1,1.432,0.0648434,0.071349,0.384694,0.141853,0.7243,14.1636,0.188953,0,0.0624061,0.588293,0.151541,0.402403,1.78718,67.1108,13.4151,5.004,0.199915,1.24197,6A,Unit 6
PAT1B-I_2mm_626,144.7,2802.13,23302.3,1.41,0.0681379,0.0643587,0.368745,0.133135,0.729325,14.5086,0.1691,0.01539,0.122074,0.573726,0.0221651,0.52717,1.72187,66.9598,13.3152,5.03151,0.1989,1.24611,6A,Unit 6
PAT1B-I_2mm_631,145.6,2813.62,22563.6,1.326,0.0640416,0.102771,0.356692,0.124164,0.703543,14.4243,0.23923,0.00184624,0.234003,0.456238,0.0643384,0.464716,1.61775,67.1513,13.3964,5.01658,0.199431,1.24205,6A,Unit 6
PAT1B-I_2mm_636,146.5,2825.1,22716.9,1.39,0.0523218,0.0597028,0.336257,0.112318,0.627032,13.8377,0.196252,0.00915483,0.0992385,0.528709,0.0657624,0.507643,1.85052,67.4316,13.501,4.99593,0.200221,1.23573,6A,Unit 6
PAT1B-I_2mm_641,147.4,2836.58,22942.8,1.402,0.0627759,0.0686571,0.31091,0.114793,0.629605,14.345,0.15223,0,0.0934019,0.493739,0.0761574,0.548808,1.68707,67.5232,13.3487,5.06169,0.197677,1.23681,6A,Unit 6
PAT1B-I_2mm_646,148.3,2848.07,22475.2,1.408,0.0613803,0.0754041,0.347923,0.120875,0.638081,14.6675,0.221775,0.016836,0.187648,0.53469,0.0709706,0.476834,1.79564,66.9263,13.2967,5.033,0.198696,1.24767,6A,Unit 6
PAT1B-I_2mm_651,149.2,2859.55,22938.3,1.324,0.0580469,0.0660694,0.309278,0.125025,0.613293,14.4667,0.154777,0.0249225,0.160488,0.517547,0.0368187,0.43061,1.88097,67.0781,13.2499,5.06255,0.197546,1.24525,6A,Unit 6
PAT1B-I_2mm_656,150.1,2870.95,21491.1,1.378,0.0779712,0.0759446,0.321881,0.116384,0.629198,15.0421,0.172407,0.0152725,0.161897,0.481416,0.126693,0.579195,1.81888,66.462,13.209,5.03423,0.198678,1.25664,6A,Unit 6
PAT1B-I_2mm_661,151,2881.68,22998.5,1.4,0.085532,0.0822068,0.334681,0.129693,0.68421,17.1641,0.129722,0,0.0978462,0.44627,0.145624,0.582461,1.69828,64.93,12.7699,5.08554,0.196684,1.28801,6A,Unit 6
PAT1B-I_2mm_666,152,2893.6,21261.7,1.34,0.0433184,0.0893015,0.29275,0.125539,0.593616,14.5809,0.159077,0.00712116,0.101789,0.488085,0.0483529,0.353048,1.85859,67.338,13.3275,5.05445,0.197878,1.24263,6A,Unit 6
PAT1B-I_2mm_671,152.9,2904.33,22761.2,1.4,0.0643174,0.0905168,0.343985,0.167116,0.658117,16.7774,0.23151,0.0284529,0.118168,0.650862,0.112959,0.41462,1.81759,65.0396,12.7736,5.09686,0.196403,1.28539,6A,Unit 6
PAT1B-I_2mm_676,153.8,2915.06,22699.4,1.332,0.0751383,0.0833501,0.334993,0.157234,0.689384,16.7315,0.213089,0.00139841,0.16598,0.542926,0.0938146,0.558049,1.88096,64.8312,13.0262,4.97823,0.200924,1.2851,6A,Unit 6
PAT1B-I_2mm_681,154.7,2925.78,22240.9,1.384,0.0855396,0.0774738,0.323865,0.166436,0.665949,14.5033,0.195741,0.00278455,0.0943115,0.459555,0.158488,0.426302,1.80447,66.9792,13.3477,5.02265,0.19916,1.24738,6A,Unit 6
PAT1B-I_2mm_686,155.6,2936.51,22596.8,1.372,0.0748071,0.0844941,0.351097,0.158706,0.752328,17.1103,0.215297,0.00420153,0.0903841,0.576278,0.206819,0.56453,1.73021,64.5761,12.856,5.02344,0.199105,1.29292,6A,Unit 6
PAT1B-I_2mm_691,156.5,2947.24,22413.9,1.55,0.0671333,0.0981374,0.407848,0.138234,0.827798,14.8083,0.180946,0.0198999,0.0794429,0.55473,0.112356,0.548823,1.93301,66.4316,13.1478,5.05386,0.197907,1.25673,6A,Unit 6
PAT1B-I_2mm_696,157.4,2957.97,21638.9,1.336,0.0502377,0.0718668,0.324608,0.111795,0.653485,12.3729,0.18824,0.0184723,0.0850684,0.630425,0.0699784,0.52758,1.94843,68.6278,13.6504,5.0288,0.198905,1.21577,6A,Unit 6
PAT1B-I_2mm_701,158.3,2968.7,22353.6,1.382,0.0721893,0.102481,0.42549,0.153422,0.84267,15.3997,0.211943,0.0022223,0.180543,0.674508,0.14068,0.593655,1.63189,65.9835,12.9139,5.11115,0.195728,1.26758,6A,Unit 6
PAT1B-I_2mm_706,159.2,2979.43,23000.8,1.386,0.0655305,0.0762789,0.413996,0.14594,0.800474,13.8831,0.134685,0.00975593,0.0822369,0.587534,0.0769388,0.488969,1.78732,67.4941,13.1653,5.12718,0.195083,1.23994,6A,Unit 6
PAT1B-I_2mm_711,160.1,2990.87,22993,1.402,0.0755896,0.0694215,0.363059,0.107806,0.728337,13.0992,0.201333,0.0134148,0.0071314,0.546396,0.053301,0.461572,1.64613,68.3927,13.4502,5.08645,0.196657,1.22212,6A,Unit 6
PAT1B-I_2mm_716,161,3007.97,21455.8,1.384,0.0648879,0.0742642,0.33664,0.142225,0.629349,13.595,0.0961197,0.0107921,0.123482,0.511168,0.0607712,0.334438,1.74147,67.997,13.5313,5.02654,0.198972,1.22732,6A,Unit 6
PAT1B-I_2mm_721,162,3026.98,23439.3,1.434,0.0672487,0.0854121,0.334849,0.140928,0.69377,14.7201,0.220993,0.00601356,0.140819,0.52448,0.030522,0.355612,1.74251,67.0901,13.2695,5.05614,0.197794,1.24465,6A,Unit 6
PAT1B-I_2mm_726,162.9,3044.09,21668,1.356,0.0719067,0.0841299,0.365881,0.123703,0.721565,15.1057,0.193723,0.00321744,0.146115,0.485452,0.0736611,0.60327,1.7389,66.375,13.2021,5.02962,0.198876,1.25727,6A,Unit 6
PAT1B-I_2mm_731,163.8,3061.2,22786.2,1.422,0.0772343,0.0923308,0.379637,0.123909,0.758751,13.1643,0.119718,0.00792124,0.0759658,0.505126,0.0792019,0.507063,1.93273,68.0941,13.3612,5.09861,0.19622,1.2277,6A,Unit 6
PAT1B-I_2mm_736,164.7,3078.3,22818.9,1.482,0.0700853,0.0792497,0.390557,0.14441,0.769069,14.2322,0.184205,0,0.100097,0.480351,0.0549877,0.453549,1.72477,67.4991,13.2642,5.08857,0.196531,1.23862,6A,Unit 6
PAT1B-I_2mm_741,165.6,3095.41,22182.6,1.366,0.0653022,0.0896712,0.338993,0.120451,0.683134,13.4069,0.152497,0.0306867,0.110758,0.40572,0.0904399,0.431484,1.75065,68.3295,13.4414,5.08526,0.196702,1.22385,6A,Unit 6
PAT1B-I_2mm_746,166.5,3112.52,22205.9,1.384,0.0726365,0.0908091,0.331408,0.172127,0.647552,13.9189,0.173748,0.0229986,0.176029,0.433786,0.0565202,0.61217,1.77519,67.3828,13.4076,5.02805,0.198946,1.238,6A,Unit 6
PAT1B-I_2mm_751,167.4,3129.62,21757.1,1.414,0.0718939,0.111692,0.393,0.129615,0.699707,15.1382,0.186565,0.00277469,0.129985,0.600121,0.046523,0.479847,1.75997,66.1562,13.2901,4.97948,0.200913,1.25886,6A,Unit 6
PAT1B-I_2mm_756,168.3,3146.73,22407.1,1.38,0.0729479,0.0953029,0.38099,0.146454,0.68388,14.0816,0.193735,0.0146805,0.122472,0.522622,0.0461918,0.378548,1.67979,67.4399,13.537,4.98219,0.200739,1.23513,6A,Unit 6
PAT1B-I_2mm_761,169.2,3163.84,22678.5,1.45,0.0769467,0.0946595,0.357804,0.148824,0.691256,15.2242,0.233805,0.00331565,0.13793,0.51138,0.0948429,0.472714,1.75969,66.203,13.2532,4.99568,0.200225,1.25916,6A,Unit 6
PAT1B-I_2mm_766,170.1,3181.46,22245.6,1.342,0.0609642,0.0865999,0.362144,0.150315,0.688379,14.5959,0.261957,0,0.140594,0.444947,0.0902531,0.379041,1.64058,66.8437,13.5899,4.92002,0.203344,1.24366,6A,Unit 6
PAT1B-I_2mm_771,171,3203.2,22075.8,1.348,0.0842803,0.0749692,0.315934,0.124914,0.532608,12.4662,0.11187,0.0202027,0.0797976,0.567493,0.148413,0.507725,1.9607,68.5035,13.812,4.96213,0.201593,1.21541,6A,Unit 6
PAT1B-I_2mm_776,172,3227.35,20701.9,1.366,0.0583604,0.0817326,0.316442,0.119374,0.562182,14.1731,0.199388,0.0274182,0.0031018,0.444553,0.161352,0.419453,1.9275,67.1493,13.5963,4.94692,0.202259,1.24307,6A,Unit 6
PAT1B-I_2mm_781,172.9,3249.09,23257.2,1.384,0.0684177,0.106215,0.348647,0.164273,0.618677,15.9066,0.212313,0.00416457,0.148702,0.568193,0.151392,0.557515,1.76293,65.7621,13.0109,5.05494,0.197842,1.26971,6A,Unit 6
PAT1B-I_2mm_786,173.8,3270.83,22595.3,1.43,0.054856,0.0824644,0.359519,0.145306,0.610711,15.0078,0.156267,0,0.078431,0.559803,0.108859,0.357932,1.83009,66.8844,13.1569,5.08387,0.196738,1.24972,6A,Unit 6
PAT1B-I_2mm_791,174.7,3292.57,22709.1,1.396,0.0668561,0.0892008,0.382689,0.162538,0.733345,15.2984,0.176685,0,0.162746,0.575612,0.074648,0.355176,1.76932,66.2348,13.2934,4.98306,0.20072,1.25751,6A,Unit 6
PAT1B-I_2mm_796,175.6,3314.31,22689.6,1.404,0.0793234,0.0891867,0.364132,0.127803,0.67353,13.8109,0.178083,0,0.0342566,0.546251,0.11317,0.492452,1.796,67.4656,13.3415,5.05897,0.197798,1.23777,6A,Unit 6
PAT1B-I_2mm_801,176.5,3336.04,22649.1,1.342,0.0628123,0.0796116,0.37068,0.148209,0.68413,13.9782,0.158768,0.00596192,0.0876312,0.659213,0.165338,0.495981,1.67223,67.2085,13.6569,4.9238,0.203185,1.23718,6A,Unit 6
PAT1B-I_2mm_806,177.4,3357.78,21590.8,1.344,0.0618775,0.0586163,0.267192,0.124281,0.519167,9.21922,0.113526,0.0301799,0.0905234,0.471661,0.0906713,0.454726,2.00423,71.5768,14.2161,5.0391,0.198545,1.16792,6A,Unit 6
PAT1B-I_2mm_811,178.3,3379.52,19269.7,1.35,0.0498297,0.0368114,0.147799,0.0586393,0.318606,5.9022,0.0881574,0.0204631,0.126493,0.41023,0.101934,0.626582,2.15317,74.5069,14.9608,4.98562,0.200785,1.11876,6A,Unit 6
PAT1B-I_2mm_816,179.2,3401.26,21528.8,1.356,0.0564206,0.0906946,0.319656,0.102009,0.565843,11.7996,0.180845,0.0163072,0.0268115,0.502863,0.0686342,0.617864,2.07106,69.161,13.7341,5.03752,0.198528,1.21037,6A,Unit 6
PAT1B-I_2mm_821,180.1,3423.27,21499.1,1.406,0.0632525,0.0838669,0.344009,0.127149,0.608677,11.9404,0.266089,0.0329265,0.0958561,0.486191,0.0872352,0.583626,1.87211,69.0468,13.6468,5.06393,0.197611,1.20945,6A,Unit 6
PAT1B-I_2mm_826,181,3447.43,20929.7,1.394,0.0838051,0.0533604,0.26119,0.0783744,0.418812,8.11699,0.0827502,0.0559817,0.185232,0.330621,0.0658642,0.411955,2.11671,72.5985,14.498,5.0077,0.199735,1.14922,6A,Unit 6
PAT1B-I_2mm_831,182,3474.28,19375.4,1.276,0.0515081,0.0356562,0.181475,0.0299116,0.344812,6.27028,0.0546169,0.00577939,0.107049,0.367585,0.0995055,0.509772,2.16433,74.1487,14.9211,4.97309,0.201221,1.12362,6A,Unit 6
PAT1B-I_2mm_836,182.9,3498.45,20802.2,1.32,0.0687414,0.0689224,0.310915,0.108489,0.575538,9.38119,0.138037,0.0222582,0.0388816,0.422624,0.129937,0.535607,2.04667,71.2098,14.243,5.00513,0.199916,1.17181,6A,Unit 6
PAT1B-I_2mm_841,183.8,3522.62,21664.1,1.332,0.0557467,0.0645116,0.326496,0.125875,0.612012,10.6339,0.139535,0.00666556,0.168912,0.381493,0.0606632,0.408019,1.96647,70.5249,13.903,5.07469,0.19714,1.18479,6A,Unit 6
PAT1B-I_2mm_846,184.7,3546.78,22816.9,1.416,0.0726808,0.0597359,0.35432,0.0976544,0.638427,11.5412,0.185009,0.0317792,0,0.50731,0.0758937,0.43181,1.9094,69.5554,13.7373,5.06455,0.197501,1.20082,6A,Unit 6
PAT1B-I_2mm_851,185.6,3570.95,22109.1,1.5,0.075535,0.0486537,0.323044,0.131404,0.582283,10.9554,0.101296,0.0294695,0.0148421,0.539537,0.0756644,0.46913,2.01337,69.9146,13.8339,5.05536,0.197829,1.19497,6A,Unit 6
PAT1B-I_2mm_856,186.5,3595.12,20461.2,1.38,0.0739998,0.0405097,0.222799,0.0621244,0.385796,8.37923,0.166556,0.0202188,0.2529,0.385838,0.0504132,0.264194,2.09182,72.4356,14.4798,5.00348,0.199889,1.15269,6A,Unit 6
PAT1B-I_2mm_861,187.4,3619.28,23059.4,1.514,0.0634387,0.0873736,0.283331,0.093579,0.574783,10.9213,0.178375,0.0184939,0.17168,0.420127,0.0725233,0.498873,1.84783,70.3377,13.876,5.07002,0.197319,1.18772,6A,Unit 6
PAT1B-I_2mm_866,188.3,3643.45,23274.7,1.358,0.0750795,0.0574291,0.317382,0.137982,0.630325,13.0234,0.122108,0.0156111,0.100955,0.523534,0.0571104,0.397834,1.99575,68.4834,13.3429,5.13454,0.194826,1.22225,6A,Unit 6
PAT1B-I_2mm_871,189.2,3667.61,21882,1.42,0.0777364,0.068872,0.328503,0.127526,0.613,13.295,0.141853,0.0137012,0.115458,0.441856,0.0150979,0.412254,1.83293,68.3178,13.5158,5.05516,0.197841,1.2222,6A,Unit 6
PAT1B-I_2mm_876,190.1,3691.35,23807.9,1.47,0.0722108,0.0811603,0.358212,0.119301,0.638029,14.0673,0.184308,0.00173536,0.0715484,0.474185,0,0.368864,1.84216,67.7896,13.3195,5.09126,0.196493,1.23296,6A,Unit 6
PAT1B-I_2mm_881,191,3711.68,23106.3,1.404,0.0563875,0.0828001,0.344503,0.0935407,0.621592,14.0356,0.16596,0,0.0590893,0.5093,0.036046,0.45964,1.93268,67.691,13.101,5.17048,0.193536,1.23782,6A,Unit 6
PAT1B-I_2mm_886,192,3734.26,22746,1.494,0.0749679,0.0863911,0.327865,0.133814,0.588236,13.0178,0.155272,0.00254791,0.0954053,0.508097,0.149134,0.404122,1.60563,68.5491,13.6318,5.03065,0.198843,1.21693,6A,Unit 6
PAT1B-I_2mm_891,192.9,3754.59,22651.1,1.42,0.0581344,0.062249,0.316697,0.101729,0.59177,14.0282,0.119935,0,0.141517,0.478747,0.0119991,0.423125,1.7559,67.9468,13.2779,5.11772,0.195422,1.23119,6A,Unit 6
PAT1B-I_2mm_896,193.8,3774.92,23418.1,1.454,0.0557761,0.076822,0.34255,0.111433,0.590045,14.6606,0.198447,0,0.129981,0.464416,0.0505743,0.485191,1.66789,67.3965,13.1567,5.12378,0.195199,1.24164,6A,Unit 6
PAT1B-I_2mm_901,194.7,3795.24,22087.2,1.38,0.0640509,0.0761054,0.298796,0.114964,0.573688,14.902,0.186531,0,0.147078,0.48541,0.064792,0.3385,1.6174,67.1677,13.3026,5.05187,0.198023,1.24293,6A,Unit 6
PAT1B-I_2mm_906,195.6,3815.57,20628,1.322,0.0551014,0.0595587,0.284579,0.10761,0.510012,14.7183,0.215707,0.0227734,0.0683069,0.386145,0.0704058,0.331735,1.81531,67.1553,13.5708,4.94999,0.202069,1.23976,6A,Unit 6
PAT1B-I_2mm_911,196.5,3835.89,21806.5,1.386,0.0785509,0.0687261,0.321628,0.130887,0.618483,14.1809,0.131102,0,0.0651188,0.285545,0.0438328,0.215263,1.92234,67.8805,13.4172,5.0616,0.197696,1.23014,6A,Unit 6
PAT1B-I_2mm_916,197.4,3856.22,22464,1.402,0.0695756,0.070916,0.327485,0.110802,0.648918,12.4837,0.162378,0,0.120128,0.391623,0.0639147,0.435066,1.92251,68.9143,13.6692,5.04299,0.19839,1.21128,6A,Unit 6
PAT1B-I_2mm_921,198.3,3876.54,22550.6,1.444,0.0672669,0.0625695,0.319903,0.11983,0.629617,11.9022,0.121605,0.00371506,0.30829,0.386168,0.00767027,0.388514,1.97686,69.2536,13.6319,5.08379,0.196829,1.20661,6A,Unit 6
PAT1B-I_2mm_926,199.2,3896.87,21426.9,1.372,0.0882896,0.0643191,0.23706,0.088784,0.528485,9.8867,0.176191,0,0.0571876,0.300674,0.158255,0.435071,2.07718,71.2083,14.0159,5.08256,0.196838,1.17391,6A,Unit 6
PAT1C_2mm_931,200.1,3917.5,21340.3,1.404,0.0569147,0.0513995,0.223251,0.0588844,0.535778,8.61945,0.112187,0.00887722,0.0961005,0.424791,0.0656375,0.378972,2.13912,72.5124,14.1612,5.12014,0.195316,1.15431,6A,Unit 6
PAT1C_2mm_936,201.1,3943.16,22520.3,1.478,0.0589794,0.0370014,0.239278,0.0933404,0.669778,10.1602,0.203326,0.00481364,0.188079,0.334427,0.0228892,0.257143,1.90299,71.1891,14.0054,5.08733,0.196677,1.17478,6A,Unit 6
PAT1C_2mm_941,202.1,3968.82,20992.5,1.386,0.0831203,0.0435399,0.24032,0.0540416,0.571593,10.2431,0.179083,0.00289171,0.152492,0.280961,0.0520489,0.419929,1.99768,71.1667,13.9189,5.11356,0.195586,1.17566,6A,Unit 6
PAT1C_2mm_946,203.1,3994.47,22502.6,1.442,0.0720244,0.0423136,0.284921,0.110074,0.706517,10.0716,0.200105,0.0274367,0.0788081,0.410782,0.0262943,0.335002,1.97688,71.1233,13.8223,5.14568,0.19435,1.17758,6A,Unit 6
PAT1C_2mm_951,204.1,4020.13,20251.8,1.396,0.0817212,0.0519803,0.257705,0.103169,0.683058,10.9909,0.195959,0.0118459,0.132204,0.287851,0.087159,0.359392,1.9777,70.3218,13.7779,5.10504,0.195977,1.18973,6A,Unit 6
PAT1C_2mm_956,205.1,4045.78,21143.9,1.456,0.0621113,0.0850045,0.273663,0.0976194,0.722184,12.3728,0.172258,0.0178624,0.0993421,0.474024,0.0555721,0.42869,2.00021,68.8517,13.6646,5.04501,0.19845,1.21197,6A,Unit 6
PAT1C_2mm_961,206.1,4071.44,21948.3,1.424,0.0787328,0.0624767,0.285549,0.104176,0.697315,11.1492,0.214372,0,0.0925002,0.417022,0.01386,0.413091,2.02549,69.7836,14.0029,4.98433,0.200658,1.19357,6A,Unit 6
PAT1C_2mm_966,207.1,4097.1,21117.6,1.54,0.0733756,0.0488881,0.261873,0.0881729,0.665833,13.1542,0.232215,0.0395215,0.145551,0.352552,0.160066,0.610917,1.9354,67.6515,13.7994,4.90334,0.203982,1.22841,6A,Unit 6
PAT1C_2mm_971,208.1,4122.75,20923.9,1.494,0.0613861,0.0452816,0.225363,0.102697,0.503637,9.89726,0.094965,0.0195181,0.0466299,0.3658,0.0149443,0.410272,2.1313,71.4515,14.0584,5.08719,0.196685,1.17004,6A,Unit 6
PAT1C_2mm_976,209.1,4148.41,18438.6,1.378,0.0709529,0.0523227,0.191711,0.0520409,0.490449,10.0782,0.123392,0.0394406,0.141327,0.398902,0,0.25556,1.98268,71.0224,14.3928,4.93795,0.202726,1.17098,6A,Unit 6
PAT1C_2mm_981,210.1,4173.92,21298.3,1.478,0.0861266,0.0510617,0.21263,0.0700016,0.651582,10.2103,0.175034,0.00449767,0.0777029,0.349574,0.0291904,0.42256,1.90444,71.074,13.9535,5.09438,0.19633,1.17631,6A,Unit 6
PAT1C_2mm_986,211.1,4198.11,19574.9,1.428,0.0563865,0.0326713,0.189275,0.0545222,0.530691,9.34647,0.170771,0.0197716,0.0503251,0.36424,0.033637,0.481323,2.11331,71.3143,14.5951,4.885,0.204788,1.16727,6A,Unit 6
PAT1C_2mm_996,213.1,4246.5,17684.3,1.61,0.0552493,0.0266155,0.104621,0.0544566,0.296823,6.05307,0.136186,0.028759,0.168751,0.3026,0.0542488,0.347169,2.31538,74.4442,14.9536,4.97861,0.200952,1.11898,6A,Unit 6
PAT1C_2mm_1001,214.1,4270.69,21739,1.462,0.0802094,0.0613101,0.325579,0.0983716,0.806896,13.7272,0.228463,0.00272384,0.221478,0.408541,0.0568283,0.365953,1.90788,67.6276,13.4275,5.04282,0.198463,1.23451,6A,Unit 6
PAT1C_2mm_1006,215.1,4294.88,21495,1.464,0.0843955,0.0481794,0.301774,0.0814717,0.604207,10.5508,0.189918,0.00638462,0.1209,0.484823,0.0504982,0.487639,1.92097,70.2042,14.0677,4.99777,0.200468,1.18678,6A,Unit 6
PAT1C_2mm_1011,216.1,4319.08,22400.2,1.468,0.0719068,0.0404627,0.228249,0.0726815,0.696556,11.5833,0.160287,0,0.0899545,0.415821,0.0555292,0.475309,1.77021,69.8451,13.8173,5.05712,0.197812,1.19555,6A,Unit 6
PAT1C_2mm_1016,217.1,4343.27,20212.1,1.506,0.0621042,0.0474747,0.300437,0.104731,0.71132,15.7432,0.236622,0.0318974,0.0575445,0.441975,0.0397057,0.435019,1.95955,65.6891,13.3404,4.92737,0.203111,1.26584,6A,Unit 6
PAT1C_2mm_1021,218.1,4367.46,20381.1,1.508,0.0541479,0.0473631,0.202027,0.102507,0.554698,13.353,0.215473,0.0242686,0.221843,0.378078,0.0115172,0.421444,1.96187,68.1391,13.6214,5.00314,0.199906,1.22661,6A,Unit 6
PAT1C_2mm_1026,219.1,4391.66,21063.5,1.578,0.0906305,0.0757011,0.25505,0.123935,0.638213,17.8564,0.169371,0.0249139,0.162394,0.446899,0.0527474,0.442077,1.94638,64.0362,13.0454,4.91062,0.203696,1.29814,6A,Unit 6
PAT1C_2mm_1031,220.1,4414.81,19971.9,1.434,0.0564269,0.0268547,0.233699,0.0796132,0.595688,16.0721,0.253788,0.005108,0.270538,0.396078,0.0609794,0.448975,1.84465,65.6365,13.4205,4.89685,0.204319,1.26995,6A,Unit 6
PAT1C_2mm_1036,221.1,4428.62,22216.3,1.56,0.0778501,0.06611,0.275499,0.116715,0.800428,19.34,0.263831,0,0.18345,0.492548,0.210008,0.370516,1.73799,62.9862,12.3503,5.10296,0.196051,1.328,6A,Unit 6
PAT1C_2mm_1041,222.1,4442.43,23423.3,1.514,0.0848154,0.0625507,0.334195,0.0550698,0.783535,14.1308,0.181027,0,0.0854705,0.56806,0.097257,0.445443,1.85238,67.3879,13.1538,5.12296,0.195227,1.24217,6A,Unit 6
PAT1C_2mm_1046,223.1,4456.25,23447.4,1.376,0.0918805,0.0465364,0.325159,0.0688982,0.813232,10.9866,0.189696,0.003102,0.164643,0.468045,0.0997476,0.321112,1.99004,70.1836,13.6079,5.16029,0.193886,1.19359,6A,Unit 6
PAT1C_2mm_1051,224.1,4470.06,20263.5,1.386,0.0993788,0.0319873,0.297331,0.0456153,0.47401,8.81568,0.139559,0.0177717,0.189362,0.382096,0.0298758,0.353872,2.22397,72.0703,14.1716,5.08328,0.196776,1.16307,6A,Unit 6
PAT1C_2mm_1056,225.1,4483.87,22449.9,1.402,0.0688181,0.058769,0.354386,0.0628445,0.754727,12.0839,0.134231,0.0302131,0.189242,0.474469,0.038845,0.436739,1.8545,69.1261,13.7355,5.03506,0.198701,1.20746,6A,Unit 6
PAT1C_2mm_1061,226.1,4497.68,22650.4,1.412,0.0804374,0.0393715,0.262093,0.0884093,0.771668,12.2887,0.141685,0.00863245,0.215782,0.511868,0.0284336,0.261777,1.84364,69.1486,13.6719,5.059,0.197696,1.20919,6A,Unit 6
PAT1C_2mm_1066,227.1,4511.49,23031,1.51,0.0626603,0.0411361,0.315442,0.0817292,0.868969,13.0293,0.232066,0.010779,0.23227,0.477237,0.0662572,0.403199,1.93219,68.1421,13.4087,5.08928,0.196792,1.22637,6A,Unit 6
PAT1C_2mm_1071,228.1,4525.31,21926.4,1.356,0.0750806,0.0253983,0.319827,0.079244,0.735035,11.5423,0.13724,0.0158796,0.0700709,0.359836,0.0811228,0.425262,1.99094,69.6522,13.7465,5.0678,0.197374,1.1998,6A,Unit 6
PAT1C_2mm_1076,229.1,4539.12,22168.5,1.472,0.0736375,0.0641152,0.427781,0.0780249,0.857358,14.4438,0.160772,0.0125494,0.234185,0.494329,0,0.510096,1.8692,66.8356,13.3753,4.99768,0.200116,1.24678,6A,Unit 6
