ID,depth,mean_age,kcps,MSE,S,K,Ca,Ti,Mn,Fe,Co,Cu,Zn,As,Br,Rb,Sr,Zr,inc,coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
PAT1A_2mm_79,27.05,808.06,20340.7,1.37,0.0833012,0.111745,0.459172,0.170666,0.568886,13.4156,0.127999,0,0,0,0.702981,0.113777,1.11339,1.96672,66.7222,13.4196,4.97199,0.201126675,1.24779,6C,Unit 6
PAT1A_2mm_80,27.35,819.37,20117.6,1.33,0.0929481,0.0969893,0.454637,0.101031,0.436452,11.6347,0.127298,0,0,0.0687007,0.521317,0.23035,1.19822,2.17014,67.7329,14.5908,4.64215,0.215417201,1.21472,6C,Unit 6
PAT1A_2mm_81,27.65,830.67,20655.2,1.35,0.051617,0.10919,0.514185,0.176689,0.476465,11.6277,0.0575728,0,0,0.073455,0.313673,0,1.39167,1.7788,68.3945,14.3714,4.75908,0.210124525,1.20823,6C,Unit 6
PAT1A_2mm_82,27.95,841.98,20285.8,1.29,0.058302,0.102531,0.462395,0.172896,0.544822,12.0565,0.209083,0,0,0.082427,0.345791,0.201041,1.13789,2.02047,67.7731,14.1794,4.77967,0.209219543,1.22022,6C,Unit 6
PAT1A_2mm_83,28.2,851.4,20538.9,1.12,0.0509165,0.0724581,0.513082,0.137083,0.520915,13.3871,0.0137083,0.04308319,0.0352499,0.193874,0.466082,0.0861664,0.97133,2.00141,67.0257,13.7572,4.87203,0.205253316,1.23789,6C,Unit 6
PAT1A_2mm_84,28.45,860.82,20413.8,1.29,0.063448,0.0912065,0.606722,0.148706,0.47586,13.5045,0.0912065,0,0.0376723,0,0.37474,0.0832755,1.0806,2.0799,66.7414,14.1529,4.71575,0.212055494,1.23618,6C,Unit 6
PAT1A_2mm_85,28.75,872.12,20467.5,1.22,0.0606404,0.0860703,0.379492,0.101719,0.379492,11.9364,0.24843,0,0,0.164316,0.555545,0.234737,1.15217,2.74838,66.9783,14.274,4.69234,0.213113318,1.23073,6C,Unit 6
PAT1A_2mm_86,29.05,883.43,21199.4,1.28,0.0810434,0.13947,0.491915,0.152663,0.495684,13.6794,0,0,0.0565419,0.235591,0.567304,0.173395,1.09691,2.23906,66.4782,13.44,4.94629,0.202171694,1.25128,6C,Unit 6
PAT1A_2mm_87,29.35,894.73,20112.5,1.42,0.0868518,0.138173,0.503346,0.183573,0.481633,13.841,0.104617,0,0.0118434,0,0.651389,0,1.11328,2.00746,66.3311,13.7976,4.80744,0.208010951,1.24799,6C,Unit 6
PAT1A_2mm_88,29.6,904.16,16272.3,1.37,0.0911847,0.113365,0.601326,0.258767,0.539715,15.1095,0.19962,0,0.0517535,0,0.717155,0.396776,1.43677,1.64625,63.9599,13.9931,4.5708,0.218780102,1.28282,6C,Unit 6
PAT1A_2mm_89,29.85,913.58,16640.2,1.36,0.0357517,0.0667366,0.514825,0.14539,0.612546,15.6902,0.162075,0,0.0905711,0,0.877109,0.176375,1.40385,1.94489,63.7501,13.4999,4.72228,0.211762067,1.2945,6C,Unit 6
PAT1A_2mm_90,30.15,924.93,17920.7,1.34,0.0489956,0.0645851,0.507772,0.138078,0.36524,13.4448,0,0,0,0.267249,0.391965,0,1.12913,1.92864,67.0527,13.9704,4.79962,0.20834994,1.23422,6C,Unit 6
PAT1A_2mm_91,30.45,936.33,19413,1.53,0.124553,0.132721,0.441041,0.118428,0.424706,14.2318,0.0898418,0.030627871,0,0.0694232,0.63706,0.206228,1.37417,2.03165,65.266,13.9357,4.68337,0.213521462,1.2626,6C,Unit 6
PAT1A_2mm_92,30.7,945.83,20317.5,1.54,0.0530296,0.131592,0.536188,0.206226,0.496907,13.5913,0.131592,0,0.066778,0.0608858,0.644211,0.221939,1.52018,2.12511,65.2814,14.3121,4.56127,0.219237018,1.25638,6C,Unit 6
PAT1A_2mm_93,30.95,955.33,20460.7,1.38,0.105105,0.130409,0.587812,0.155712,0.593651,15.7853,0.0622847,0,0,0.112891,0.829165,0.184908,1.40724,1.76344,63.3124,13.9323,4.54429,0.220056567,1.29459,6C,Unit 6
PAT1A_2mm_94,31.2,964.83,20436.3,1.31,0.100528,0.112355,0.48293,0.161634,0.455334,13.1554,0.339037,0,0.0177403,0.272018,0.721438,0.027596,1.1748,1.69912,66.6167,14.1725,4.70042,0.212747071,1.23779,6C,Unit 6
PAT1A_2mm_95,31.45,974.33,20972.1,1.4,0.0695948,0.108259,0.599289,0.177853,0.587689,14.2031,0.160455,0,0.0386638,0,0.655351,0.121791,1.33003,1.60841,65.6376,13.8552,4.73741,0.211085913,1.25798,6C,Unit 6
PAT1A_2mm_96,31.75,985.73,20196.1,1.29,0.0705432,0.128993,0.62078,0.147133,0.441399,11.4522,0.316437,0.096744936,0.0241862,0,0.62078,0,1.4028,1.68296,67.9714,14.411,4.71664,0.212015182,1.21385,6C,Unit 6
PAT1A_2mm_97,32.05,997.13,20739.2,1.31,0.0920305,0.119444,0.550225,0.0920305,0.593303,12.2459,0.156648,0.041120031,0.0685334,0.203642,0.683376,0,1.64284,1.68005,67.2567,13.8242,4.86516,0.205543263,1.23334,6C,Unit 6
PAT1A_2mm_98,32.3,1006.63,20766.4,1.5,0.0895377,0.134307,0.694891,0.190754,0.609246,14.2462,0.0720195,0,0,0.19854,0.52944,0.110949,1.43844,1.79854,65.2477,13.8608,4.70734,0.212433997,1.26409,6B,Unit 6
PAT1A_2mm_99,32.55,1016.13,21191.7,1.29,0.0864836,0.138374,0.580401,0.159514,0.659197,13.1455,0.119155,0,0,0.067265,0.684181,0.0595776,1.56824,1.99489,66.1253,13.8624,4.77014,0.209637574,1.25019,6B,Unit 6
PAT1A_2mm_100,32.85,1027.53,20962,1.46,0.0663376,0.136577,0.532652,0.199013,0.694593,13.4275,0.187306,0,0,0.234133,0.612647,0.126822,1.73453,1.70331,65.7542,14.1026,4.66256,0.214474348,1.25224,6B,Unit 6
PAT1A_2mm_101,33.1,1037.03,20630,1.21,0.0446758,0.126258,0.642943,0.161221,0.557476,13.9155,0.161221,0,0,0.341867,0.693446,0.238918,1.58502,2.04538,65.1276,13.7446,4.73841,0.211041188,1.26787,6B,Unit 6
PAT1A_2mm_102,33.3,1044.63,21083.2,1.32,0.0550577,0.127202,0.630316,0.170869,0.495519,14.372,0.184159,0,0,0.106318,0.918894,0.0569563,1.68401,1.9479,64.9795,13.4796,4.82056,0.207444633,1.27455,6B,Unit 6
PAT1A_2mm_103,33.5,1052.23,21099.4,1.28,0.0629087,0.177288,0.62718,0.127724,0.636712,15.8282,0.289761,0,0,0,0.51852,0,1.77097,1.567,64.3689,13.5196,4.76114,0.210033762,1.28389,6B,Unit 6
PAT1A_2mm_104,33.7,1059.83,21744.5,1.24,0.0605871,0.110158,0.604035,0.134026,0.651771,15.2551,0.0973066,0,0,0.0403914,0.477353,0.236841,1.57894,1.96449,64.3344,13.8579,4.64242,0.215404812,1.2789,6B,Unit 6
