LP08_M1H_BACON_SH20M1H,,,,,,,,,,,,,
Strat_depth,95%CI_min,95%CI_max,median_age,SH20M1Hmean_age,mean 95%,Unit ,95%CI_min_nearest_10_years,95%CI_max_nearest_10_years,median_age_nearest_10_years,SH20M1Hmean_age_nearest_10_years,mean_min_95%CI_err.,max_mean_95%CI_nearest_10_years,mean_95%CI_nearest_10_years
cm,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,-,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP
122,2291.44,2748.86,2500.11,2506.49,228.71,6B,2290,2750,2500,2510,220,240,230
123,2307.26,2759.23,2514.1,2519.53,225.985,6B,2310,2760,2510,2520,210,240,230
124,2320.73,2770.2,2527.83,2532.57,224.735,6B,2320,2770,2530,2530,210,240,230
125,2327.9,2786.19,2542.31,2545.62,229.145,6B,2330,2790,2540,2550,220,240,230
126,2335.4,2800.27,2555.42,2558.66,232.435,6B,2340,2800,2560,2560,220,240,230
127,2346.3,2813.5,2569.58,2571.7,233.6,6B,2350,2810,2570,2570,220,240,230
128,2348.67,2828.57,2582.85,2584.74,239.95,6B,2350,2830,2580,2580,230,250,240
129,2352.89,2842.81,2596.33,2597.78,244.96,6B,2350,2840,2600,2600,250,240,250
130,2359.07,2865.33,2608.13,2610.82,253.13,6B,2360,2870,2610,2610,250,260,260
131,2377.89,2875.92,2621.7,2623.99,249.015,6B,2380,2880,2620,2620,240,260,250
132,2394.98,2882.42,2636.14,2637.16,243.72,6B,2390,2880,2640,2640,250,240,250
133,2415.69,2893.93,2651.78,2650.33,239.12,6B,2420,2890,2650,2650,230,240,240
134,2429.55,2901.92,2665.59,2663.5,236.185,6B,2430,2900,2670,2660,230,240,240
135,2443.14,2915.98,2678.61,2676.67,236.42,6B,2440,2920,2680,2680,240,240,240
136,2454.98,2932.43,2692.07,2689.84,238.725,6B,2450,2930,2690,2690,240,240,240
137,2462.87,2946.87,2708.5,2703.01,242,6B,2460,2950,2710,2700,240,250,250
138,2474.18,2964.95,2720.93,2716.18,245.385,6B,2470,2960,2720,2720,250,240,250
139,2479.93,2984.88,2733.26,2729.35,252.475,6B,2480,2980,2730,2730,250,250,250
140,2486.81,3003.92,2743.52,2742.51,258.555,6B,2490,3000,2740,2740,250,260,260
141,2507.12,3012.7,2756.29,2754.24,252.79,6B,2510,3010,2760,2750,240,260,250
142,2520.67,3022.69,2766.32,2765.97,251.01,6B,2520,3020,2770,2770,250,250,250
143,2536,3031,2776.65,2777.7,247.5,6B,2540,3030,2780,2780,240,250,250
144,2550.98,3040.17,2788.49,2789.42,244.595,6B,2550,3040,2790,2790,240,250,250
145,2562.23,3047.85,2799.68,2801.15,242.81,6B,2560,3050,2800,2800,240,250,250
146,2572.79,3053.65,2811.91,2812.88,240.43,6B,2570,3050,2810,2810,240,240,240
147,2584.79,3066.87,2824.85,2824.6,241.04,6B,2580,3070,2820,2820,240,250,250
148,2592.43,3080.95,2838.52,2836.33,244.26,6B,2590,3080,2840,2840,250,240,250
149,2598.68,3092.74,2849.67,2848.06,247.03,6B,2600,3090,2850,2850,250,240,250
150,2601.96,3106.78,2862.01,2859.79,252.41,6B,2600,3110,2860,2860,260,250,260
151,2629.97,3111.17,2873.13,2872.5,240.6,6B,2630,3110,2870,2870,240,240,240
152,2657.27,3114.15,2885.14,2885.22,228.44,6B,2660,3110,2890,2890,230,220,230
153,2680.25,3122.41,2896.84,2897.94,221.08,6B,2680,3120,2900,2900,220,220,220
154,2700.91,3125.48,2908.71,2910.66,212.285,6B,2700,3130,2910,2910,210,220,220
155,2726.61,3137.84,2920.83,2923.37,205.615,6B,2730,3140,2920,2920,190,220,210
156,2738.8,3147.71,2933.13,2936.09,204.455,6B,2740,3150,2930,2940,200,210,210
157,2755.91,3158.51,2945.51,2948.81,201.3,6B,2760,3160,2950,2950,190,210,200
158,2776.4,3168.89,2957.88,2961.53,196.245,6B,2780,3170,2960,2960,180,210,200
